source_idx,source_name,volume,issue,n_works,yr_min,yr_max,yr_spread,years_and_counts,example_titles
4210221741,Organizations and Markets in Emerging Economies,4,2,6,2013,2019,6,"{2013: 5, 2019: 1}",Locus of Control as a Moderator in the Relationship Between Job Satisfaction and Organizational Commitment: a Study of Indian It Professionals
4210210868,Revue internationale P M E Économie et gestion de la petite et moyenne entreprise,19,2,6,2006,2012,6,"{2006: 1, 2012: 5}",Éditorial
43019230,PharmacoEconomics,35,4,8,2010,2016,6,"{2010: 1, 2016: 7}",Towards a framework for the generation of enhanced attack/background network traffic for evaluation of network-based intrusion detection systems.
4210168091,The Journal of Law Economics and Organization,36,3,7,2014,2020,6,"{2014: 1, 2020: 6}",Unintended Consequences of Products Liability: Evidence from the Pharmaceutical Market
5486590,International Economics and Economic Policy,18,1,8,2015,2021,6,"{2015: 1, 2020: 6, 2021: 1}",Export Market Risk and the Role of State Credit Guarantees
98984247,Computational Economics,55,2,14,2013,2019,6,"{2013: 1, 2019: 13}",International Assets Allocation with Risk Management via Multi-Stage Stochastic Programming
82262387,Journal of Information Systems,30,1,17,2015,2021,6,"{2015: 7, 2016: 3, 2021: 7}",The <i>Journal of Information Systems</i> 2015 Conference on Information Technology Audit | Editorial Policy
7345157,Eastern Economic Journal,35,4,14,2003,2009,6,"{2003: 1, 2009: 13}",PUBLIC CHOICE AND ALTRUISM
102700472,Financial Services Review,26,1,6,2017,2023,6,"{2017: 5, 2023: 1}",Value line quarterly EPS forecast error
43019230,PharmacoEconomics,30,6,7,2006,2012,6,"{2006: 1, 2012: 6}","Empire and Citizenship, 212-1946"
145200904,Health Economics,19,6,9,2009,2015,6,"{2009: 8, 2015: 1}",An evaluation of two approaches for developing keyboarding skills in children with cognitive disabilities
134953813,Economics bulletin,9,1,9,2001,2007,6,"{2001: 1, 2003: 2, 2004: 1, 2005: 2, 2006: 2, 2007: 1}",The Properties of the Watts Poverty Index under Lognormality
23254222,American Economic Review,69,1,5,2016,2022,6,"{2016: 4, 2022: 1}",Optimal pricing with intermodal competition
134953813,Economics bulletin,15,4,4,2002,2008,6,"{2002: 1, 2005: 1, 2007: 1, 2008: 1}",RISK AVERSION AS EFFORT INCENTIVE: A CORRECTION AND PRIMA FACIE TEST OF THE MORAL HAZARD THEORY OF SHARE TENANCY
134953813,Economics bulletin,4,17,3,2002,2008,6,"{2002: 1, 2003: 1, 2008: 1}",Elasticity and revenue: do we need a reappraisal?
134953813,Economics bulletin,12,6,7,2001,2007,6,"{2001: 1, 2002: 1, 2004: 1, 2005: 1, 2006: 2, 2007: 1}",Is firm growth proportional? An appraisal of firm size distribution
2764850994,Journal of managerial issues,29,4,3,2011,2017,6,"{2011: 1, 2017: 2}",The Willingness to be Underemployed: A Study of Unemployed Professionals
4210221741,Organizations and Markets in Emerging Economies,4,1,8,2013,2019,6,"{2013: 7, 2019: 1}","Customer-based Brand Equity for a Tourism Destination (CBBETD): the Specific Case of Bandung City, Indonesia"
82262387,Journal of Information Systems,30,3,14,2015,2021,6,"{2015: 5, 2016: 7, 2021: 2}",Using Data Mining Techniques for Analysis of the Impacts of COVID-19 Pandemic on the Domestic Stock Prices: Focusing on Healthcare Industry | The Effect of the Determinants on the Intention-to-Use of Big Data System in Manufacturing Industry
176795851,Journal of Macroeconomics,28,4,11,2000,2006,6,"{2000: 1, 2006: 10}",An Optimizing IS-LM Framework with Endogenous Investment
134953813,Economics bulletin,4,16,4,2002,2008,6,"{2002: 1, 2005: 1, 2007: 1, 2008: 1}",From social choice functions to dictatorial social welfare functions
175672440,Regional Studies,42,1,12,2008,2014,6,"{2008: 10, 2014: 2}",Local Information : Surveying about Minamiosumi Town (formerly Nejime-cho and Sata-cho) in Kagoshima Prefecture | A Progressively Effective Adjustment Between Social Welfare Resourses and Social Welfare Needs
4210210868,Revue internationale P M E Économie et gestion de la petite et moyenne entreprise,19,3-4,8,2006,2012,6,"{2006: 1, 2012: 7}",Éditorial
4210234043,Journal of Management Research,8,1,12,2015,2021,6,"{2015: 8, 2016: 2, 2018: 1, 2021: 1}",Analysis of Open Innovation Practices in Malaysian SMEs
2764927701,International Business Research,5,1,5,2011,2017,6,"{2011: 3, 2017: 2}",THE SCOPE OF LIVESTOCK PRODUCTION IN DEVELOPING COUNTRIES: A CASE STUDY OF IRAN | An International Trade Dilemma: Could Insourcing Rectify the Damage of Outsourcing?
134988049,Econometric Reviews,19,2,7,2000,2006,6,"{2000: 5, 2006: 2}",『財界人』トップインタビュー 石油業界の新しい未来を目指して--2006、日本のエネルギー産業の行方 出光興産株式会社 取締役社長 天坊昭彦 | 直撃インタビュー 帝人株式会社理事広報・IR室長 吉川勝 技術の隠れた巨人 経営統治の先駆者に不断の挑戦魂あり
134953813,Economics bulletin,15,2,4,2001,2007,6,"{2001: 1, 2005: 1, 2006: 1, 2007: 1}",The skill bias in Italy: a first report
167074060,Tijdschrift voor Economische en Sociale Geografie,12,1,6,2009,2015,6,"{2009: 1, 2015: 5}","A. Fickers, ""Politique de la grandeur' versus 'Made in Germany'. Politische Kulturgeschichte der Technik am Beispiel der Pal-Secam Kontroverse"""
134953813,Economics bulletin,4,29,4,2003,2009,6,"{2003: 1, 2006: 1, 2008: 1, 2009: 1}",A new factorial decomposition for the atkinson measure
4210218165,Asia-Pacific Management Accounting Journal,4,2,4,2003,2009,6,"{2003: 1, 2009: 3}",The Application of Modern Management Acccounting Technique: A field study
2764922153,Central European Journal of Economic Modelling and Econometrics,4,2,3,2012,2018,6,"{2012: 2, 2018: 1}",Central European Journal of Economic Modelling and Econometrics
65528657,Journal of Regional Science,54,1,14,2008,2014,6,"{2008: 1, 2013: 6, 2014: 7}",ARE IMMIGRANTS MORE MOBILE THAN NATIVES? EVIDENCE FROM GERMANY
134953813,Economics bulletin,5,4,5,2002,2008,6,"{2002: 1, 2005: 1, 2006: 1, 2007: 1, 2008: 1}",The Dynamic Correlation Between Growth and Unemployment
33323087,Management Science,10,3,10,2014,2020,6,"{2014: 3, 2015: 6, 2020: 1}","Students’ Entrepreneurial Intentions and Determinants in Technical Vocational Education and Training (TVET) Colleges: Lessons from Gurage Zone, Ethiopia"
2764555313,International Journal of Business,4,3,3,2014,2020,6,"{2014: 1, 2016: 1, 2020: 1}",A comparative analysis of the OECD anti-corruption models (Asia & Europe) and Australia’s existing anti-corruption platform
2737685543,Revista Finanzas y Política Económica,1,2,4,2009,2015,6,"{2009: 1, 2015: 3}",Dinámica interna de la empresa familiar exportadora. Un caso de estudio
4210218165,Asia-Pacific Management Accounting Journal,6,2,3,2011,2016,5,"{2011: 1, 2014: 1, 2016: 1}",Human Capital Accounting and Value-Added Performance: A Case Study of a Major Indian Port
134953813,Economics bulletin,12,10,4,2002,2007,5,"{2002: 1, 2004: 1, 2005: 1, 2007: 1}",Reexamination of the A-J effect
82262387,Journal of Information Systems,17,1,10,2003,2008,5,"{2003: 9, 2008: 1}",교육행정정보시스템(NEIS) 사용자 만족도에 영향을 미치는 요인에 관한 연구
33323087,Management Science,13,2,27,2009,2014,5,"{2009: 24, 2014: 3}",FUNCTIONAL DETERMINISM GOVERNANCE MECHANISMS: THE CONTENT OF A SCIENTIFIC PROBLEM | DIRECTIONS IMPROVE MECHANISMS SELF-ORGANIZATION IN PUBLIC ADMINISTRATION (FOR EKSPRETNYMY VOTES)
33323087,Management Science,7,3,17,2012,2017,5,"{2012: 5, 2017: 12}",From an e-Competent School to an e-Competent Secondary School Graduate? | Management Standards Integration in Service Providing Organizations
185325801,Journal of Korea Trade,16,1,8,2012,2017,5,"{2012: 7, 2017: 1}",Mad-Cow Disease and the Politics of International Economic Law: Implications from Korean Experience
33323087,Management Science,6,4,18,2011,2016,5,"{2011: 2, 2014: 1, 2016: 15}",SOCIAL PROFIT - AS MAIN CRITERION EFFECTIVE POLITICAL MANAGEMENT IN INTERESTS OF PEOPLE
82262387,Journal of Information Systems,14,2,20,2000,2005,5,"{2000: 6, 2005: 14}",An Examination of the Effect of IT Investments on Firm Value: The Case of Y2K-Compliance Costs | Accounting Information Systems Doctoral Dissertations: 1999
202812398,Information Systems Research,21,1,12,2005,2010,5,"{2005: 1, 2008: 1, 2009: 7, 2010: 3}","Electronic Markets, Search Costs and Firm Boundaries"
178258306,Empirical Economics,56,2,13,2013,2018,5,"{2013: 1, 2017: 7, 2018: 5}","Threat of Grade Retention, Remedial Education and Student Achievement: Evidence from Upper Secondary Schools in Italy"
134953813,Economics bulletin,8,9,4,2003,2008,5,"{2003: 1, 2005: 2, 2008: 1}",Auditing ghosts by prosperity signals
33323087,Management Science,5,3,17,2010,2015,5,"{2010: 5, 2015: 12}",Cues of Nonverbal Communication and Persuasiveness of the Individual | Impact of the Global Economic Crisis on International Trade
82262387,Journal of Information Systems,27,2,26,2013,2018,5,"{2013: 15, 2018: 11}",A Study on the Factors Influencing Innovation Resistance and Intention of Using on the Biometrics Technology | An Empirical Study on the Acceptance-Resistance Motivation to Use A Mobile Payment Service : Applying Multivariate Discriminant Analysis
2764927701,International Business Research,10,1,22,2016,2021,5,"{2016: 20, 2021: 2}",Job Performance in Russia: The Impact of Cultural and Emotional Intelligence | Implementation of Self-Management Principles To International Business Education
4210194146,Journal of health economics and outcomes research,5,2,9,2017,2022,5,"{2017: 5, 2018: 3, 2022: 1}",A Cost-benefit Analysis of Using Polyethylene Glycol Hydrogel Sealant versus Fibrin Glue as a Dural Sealant for Posterior Fossa Surgery in the United States
102700472,Financial Services Review,27,1,5,2018,2023,5,"{2018: 1, 2023: 4}",Expense Ratios and Net Alphas of Large Cap Funds: Do Expenses Add Value?
105710273,Review of Financial Economics,20,2,8,2006,2011,5,"{2006: 3, 2011: 5}","Trading Volume, Volatility and Bid-Ask Spreads: Evidence from Foreign Exchange Market in Korea | A Law-and-Economics Analysis on the Efficient Deterrent System against Harmful Activities in the Securities Market"
69338747,European Economic Review,53,8,8,2004,2009,5,"{2004: 1, 2008: 1, 2009: 6}",Experiments on Unemployment Benefit Sanctions and Job Search Behavior
8557221,Journal of Labor Economics,24,2,8,2001,2006,5,"{2001: 2, 2006: 6}",Critical Assessment of Productive Welfare and Several Policy Alternatives | A Study on the Definitions of Employment Status to Measure Employment Structure Changes and Their Sizes
134953813,Economics bulletin,12,1,11,2002,2007,5,"{2002: 1, 2003: 1, 2004: 2, 2005: 1, 2006: 3, 2007: 3}","Mixed oligopoly, subsidization and the order of firms' moves: an irrelevance result for the general case"
180061323,The Review of Economics and Statistics,95,4,23,2008,2013,5,"{2008: 1, 2009: 1, 2012: 20, 2013: 1}",Immigrant Networks and Their Implications for Occupational Choice and Wages
83511262,International Journal of Productivity and Quality Management,1,1,414,2018,2023,5,"{2018: 14, 2019: 87, 2020: 95, 2021: 129, 2022: 70, 2023: 19}",Reduction in Call handling Time in Transportation service industry using Lean Six Sigma DMAIC methodology | An FMEA-based integrated framework to quantify and improve operational performance in advanced manufacturing environments: a case study
170166683,American Economic Journal Macroeconomics,10,1,8,2013,2018,5,"{2013: 1, 2018: 7}",Sustainable Shadow Banking
127742747,Journal of Econometrics,186,1,14,2010,2015,5,"{2010: 1, 2011: 1, 2014: 8, 2015: 4}",Asset-Pricing Anomalies at the Firm Level
127742747,Journal of Econometrics,156,1,15,2004,2009,5,"{2004: 1, 2009: 14}",Estimating the Return to Training and Occupational Experience: The Case of Female Immigrants
180332110,Review of Law & Economics,5,2,8,2004,2009,5,"{2004: 1, 2009: 7}",Chaos and complexity theory – implications to business organization and strategy
23254222,American Economic Review,99,3,21,2004,2009,5,"{2004: 1, 2009: 20}","Trade, Tragedy, and the Commons"
33323087,Management Science,8,3,18,2013,2018,5,"{2013: 5, 2014: 7, 2018: 6}","Equity Value of Slovenian Publicly Traded Companies on the Basis of Discounted Free Cash Flows, 2006–2011 | Analysis of the Impact of Emotional Intelligence Employees on Organizational Performance"
134953813,Economics bulletin,7,6,4,2003,2008,5,"{2003: 1, 2005: 1, 2006: 1, 2008: 1}",The Influence of Large Creditors on Creditor Coordination
82262387,Journal of Information Systems,22,1,16,2008,2013,5,"{2008: 14, 2013: 2}",기존 시스템 사용 습관과 새로운 시스템 수용과의 관계 | 모바일뱅킹에서 개인혁신성의 조절효과
168680943,Annals of economics and finance,19,1,10,2013,2018,5,"{2013: 1, 2018: 9}",Does Fiscal Decentralization Increase the Investment Rate? Evidence from Chinese Dynamic Panel Data
78091837,Review of World Economics,143,3,9,2002,2007,5,"{2002: 1, 2007: 8}",Why Do Foreign-Owned Firms Pay More? The Role of On-the-Job Training
33323087,Management Science,3,2,12,2008,2013,5,"{2008: 3, 2013: 9}","Supply Chain Design of a Radio Station: Case Study in Bulgaria | Human Capital, Research and Development and Productivity Growth: Empirical Analysis for Slovenia"
62142384,Journal of Accounting and Economics,80,1,3,2019,2024,5,"{2019: 1, 2024: 2}",Reporting Regulation and Corporate Innovation
44455300,Journal of Environmental Management,88,3,19,2007,2012,5,"{2007: 18, 2012: 1}",My world survey: national study of youth mental health in Ireland.
9551102,International journal of central banking,9,2,5,2013,2018,5,"{2013: 2, 2015: 1, 2018: 2}",Unconventional Monetary Policy and the Great Recession: Estimating the Macroeconomic Effects of a Spread Compression at the Zero Lower Bound
134953813,Economics bulletin,8,8,4,2003,2008,5,"{2003: 2, 2007: 1, 2008: 1}",Estimating the Effect of Parliamentary Elections on Primary Budget Deficits in OECD Countries
134953813,Economics bulletin,9,3,5,2003,2008,5,"{2003: 1, 2004: 1, 2006: 1, 2007: 1, 2008: 1}",Transient and chronic poverty in turbulent times: Argentina 1995-2002
86301901,Revista de economía aplicada/Revista de economía aplicada,19,55,7,2006,2011,5,"{2006: 1, 2011: 6}",Productive efficiency and regulatory reform: The case of vehicle inspection services
134953813,Economics bulletin,3,25,6,2003,2008,5,"{2003: 1, 2004: 1, 2005: 1, 2006: 1, 2007: 1, 2008: 1}",Further Evidence on the Size and Power of the Bierens and Johansen Cointegration Procedures
44585919,Journal of Economic Dynamics and Control,37,12,31,2008,2013,5,"{2008: 1, 2013: 30}",Design Limits and Dynamic Policy Analysis
2764922153,Central European Journal of Economic Modelling and Econometrics,5,1,3,2013,2018,5,"{2013: 1, 2018: 2}",A Long-Run Relationship between Daily Prices on Two Markets: The Bayesian VAR(2)-MSF-SBEKK Model
134953813,Economics bulletin,12,9,5,2002,2007,5,"{2002: 1, 2004: 1, 2006: 1, 2007: 2}",R&D in Markets with Network Externalities
102700472,Financial Services Review,27,3,6,2018,2023,5,"{2018: 1, 2023: 5}","Perspectives on ""Sell In May and Go Away"": A Look at Recent Evidence and Implications"
33323087,Management Science,5,4,16,2010,2015,5,"{2010: 4, 2015: 12}",International Week in Porto | Slovenian Employee Suggestion Systems: A Continuous Improvement Or a Continuous Stagnation?
166621295,Journal of Health Economics,26,3,10,2001,2006,5,"{2001: 1, 2006: 9}",DIVERSITY ISSUES & HONORS EDUCATION!
162583106,Health Marketing Quarterly,33,4,9,2011,2016,5,"{2011: 1, 2016: 8}",A novel silver colloid: assessment of antibacterial activity
163499366,Review of Economic Dynamics,15,2,8,2007,2012,5,"{2007: 1, 2011: 5, 2012: 2}",Reassessing the Ins and Outs of Unemployment
180061323,The Review of Economics and Statistics,90,2,10,2003,2008,5,"{2003: 1, 2008: 9}",What You Don't Know Can't Help You: Pension Knowledge and Retirement Decision Making
23254222,American Economic Review,65,3,7,2016,2021,5,"{2016: 6, 2021: 1}",Short- Term Interest Rates as Predictors of Inflation
33323087,Management Science,3,1,15,2008,2013,5,"{2008: 4, 2013: 11}",Poslovanje brez papirja = Paperless Office | Merjenje prava in institucij = Measuring Law and Institutions
57667410,Annals of Operations Research,332,1-3,115,2019,2024,5,"{2019: 8, 2020: 8, 2021: 19, 2022: 24, 2023: 53, 2024: 3}",Efficient vectors in priority setting methodology | Solving business problems: the business-driven data-supported process
45992627,The Economic Journal,119,539,11,2004,2009,5,"{2004: 1, 2009: 10}",High Compensation Creates a Ratchet Effect
88935262,The Review of Economic Studies,83,3,12,2011,2016,5,"{2011: 2, 2015: 1, 2016: 9}",Rationally Inattentive Seller: Sales and Discrete Pricing
99304778,Forum for Social Economics,50,2,7,2016,2021,5,"{2016: 1, 2017: 2, 2018: 1, 2020: 2, 2021: 1}",Modeling Radical Uncertainty and Anticipating Uncertain Change with Models
33323087,Management Science,6,3,15,2011,2016,5,"{2011: 3, 2016: 12}",Managerji HRM in njihove etične dileme = Human Resource Managers and Their Ethical Dilemma | Economic Factors for Televison Programme Rating in Slovenia
2764642258,Indian journal of industrial relations,47,1,15,2011,2016,5,"{2011: 13, 2016: 2}",Measuring Training & Development | HRD Practices & Managerial Effectiveness: Role of Organisation Culture
134953813,Economics bulletin,3,3,5,2002,2007,5,"{2002: 1, 2003: 1, 2004: 1, 2005: 1, 2007: 1}",Reciprocal Strategies and Aspiration Levels in a Cournot-Stackelberg Experiment
2764642258,Indian journal of industrial relations,46,4,11,2011,2016,5,"{2011: 8, 2016: 3}",GNP & Beyond: Searching for New Indicators-A View in Retrospect | Employ ability Skills: The Conceptual Framework & Scale Development
8557221,Journal of Labor Economics,30,3,9,2007,2012,5,"{2007: 3, 2012: 6}",The Concept and Actual Conditions of Inequality | Study on the Effect of Labor Unions on Job Stability - Oaxaca Non-linear Decomposition of Probit-Logit -
134953813,Economics bulletin,9,8,3,2003,2008,5,"{2003: 1, 2007: 1, 2008: 1}",The poverty trap with high fertility rates
33323087,Management Science,14,1,33,2010,2015,5,"{2010: 31, 2014: 1, 2015: 1}",International Experience Of Anti-Corruption Policy
134953813,Economics bulletin,12,5,4,2001,2006,5,"{2001: 1, 2002: 1, 2005: 1, 2006: 1}",The Learning Curve and Durable-Goods Production
134953813,Economics bulletin,3,6,5,2001,2006,5,"{2001: 1, 2002: 1, 2003: 1, 2005: 1, 2006: 1}",Asymmetric unit root tests in the presence of structural breaks under the null
33323087,Management Science,8,4,12,2013,2018,5,"{2013: 4, 2014: 4, 2018: 4}",Entrepreneurship Policy and Supportive Environment for Entrepreneurship Development | Perceived Relationships among Components of Insurance Service for Users of Complementary Health Insurance Service
82262387,Journal of Information Systems,15,1,19,2001,2006,5,"{2001: 5, 2006: 14}",Developing Database Query Proficiency: Assuring Compliance for Responses to Web Site Referrals | The Sections of the <i>Journal</i>
2764593888,Journal of Applied Business Research (JABR),14,1,16,2011,2016,5,"{2011: 13, 2016: 3}",A study of the factors influencing residential house prices in Auckland and New Zealand | Contemporary costing in the health sector to provide contribution performance reporting for profitability
105710273,Review of Financial Economics,19,2,7,2005,2010,5,"{2005: 1, 2009: 4, 2010: 2}",The Long-term Relation Analysis between PPI and CPI in Korea
134953813,Economics bulletin,4,23,4,2003,2008,5,"{2003: 1, 2006: 1, 2007: 1, 2008: 1}",The impossibility of strategy-proof clustering
82262387,Journal of Information Systems,14,1,14,2000,2005,5,"{2000: 5, 2005: 9}","The Belgian Chocolate Company: A Dynamic Data Modeling and Database Design Case for the Accounting Information Systems Class | EDI Adoption and Implementation: An Examination of Perceived Operational and Strategic Benefits, and Controls"
134953813,Economics bulletin,5,1,6,2001,2006,5,"{2001: 1, 2002: 1, 2003: 1, 2004: 1, 2005: 1, 2006: 1}",The Impact of Tax Risk and Persistence on Investment Decisions
134953813,Economics bulletin,6,8,4,2003,2008,5,"{2003: 1, 2005: 1, 2006: 1, 2008: 1}",Exchange rate pass-through and strategic pricing: Evidence from Japanese imports of DRAMs
134953813,Economics bulletin,6,1,10,2001,2006,5,"{2001: 1, 2002: 1, 2003: 2, 2004: 1, 2005: 4, 2006: 1}",Bayesian and DF-GLS unit root tests of real exchange rates over the current floating period
33323087,Management Science,4,3,9,2009,2014,5,"{2009: 6, 2014: 3}",The Analysis of Several Offbeat Business Service Modes Based on Different Enterprise Life Cycle | The Dream of Continuity of a Family Business across Generations
2764593888,Journal of Applied Business Research (JABR),14,2,14,2011,2016,5,"{2011: 13, 2016: 1}",Developing written and video vignettes for ethical decision-making research
82262387,Journal of Information Systems,21,1,12,2007,2012,5,"{2007: 10, 2012: 2}","친환경 공급사슬관리의 영향요인, 실행수준, 그리고 기업성과간의 구조적 인과관계 | 한국 TAM 실증연구의 동일방법편의 분석"
8557221,Journal of Labor Economics,23,1,8,2000,2005,5,"{2000: 1, 2005: 7}",Trends in the Wage Gap between the Government and the Private Sector over the Last Twenty Years and Their Policy Implications
134953813,Economics bulletin,8,5,4,2001,2006,5,"{2001: 1, 2004: 1, 2005: 1, 2006: 1}",Does Altruism Mitigate Free-riding and Welfare Loss?
2764696955,Issues in Social and Environmental Accounting,1,1,9,2007,2012,5,"{2007: 8, 2012: 1}",A Commentary on CSR
134953813,Economics bulletin,33,2,38,2008,2013,5,"{2008: 1, 2013: 37}",Economic integration and industrial sector fluctuations: evidence from Italy
8557221,Journal of Labor Economics,29,3,7,2006,2011,5,"{2006: 1, 2008: 1, 2009: 1, 2011: 4}",The Relation between Wage and Price Under Low Inflation Rate
203860005,The Quarterly Journal of Economics,133,3,10,2013,2018,5,"{2013: 1, 2017: 3, 2018: 6}",High Frequency Identification of Monetary Non-Neutrality: The Information Effect
82262387,Journal of Information Systems,16,2,21,2002,2007,5,"{2002: 14, 2007: 7}","Perceived Trust of e-Marketplace and Its Effect on Commitment, Long-Term Orientation and Cooperation | A Study on Effects of Success Factors of Knowledge Management for Business Activity and Business Performance - Korean Manufacturing Companies and Non-Manufacturing Companies"
82262387,Journal of Information Systems,19,1,12,2005,2010,5,"{2005: 10, 2010: 2}",대규모 프로젝트의 위험요인과 위험관리에 관한 사례연구 | 소프트컴퓨팅 기법을 활용하는 지능적인 반도체 수율 예측 시스템
134953813,Economics bulletin,3,32,5,2003,2008,5,"{2003: 1, 2004: 1, 2005: 1, 2007: 1, 2008: 1}",Non stationarity characteristics of the S\&P500 returns:An approach based on the evolutionary spectral density
33323087,Management Science,7,4,17,2012,2017,5,"{2012: 4, 2014: 3, 2017: 10}",E-CUSTOMS AS ELEMENT OF STRATEGY OF STATE CUSTOM SAFETY | FOREIGN EXPERIENCE OF REGIONAL MANAGEMENT OF PHYSICAL CULTURE AND SPORTS
30207186,CESifo Economic Studies,67,1,4,2016,2021,5,"{2016: 1, 2020: 2, 2021: 1}",The 2008 Financial Crisis and the Lack of Retaliatory Trade Intervention
134953813,Economics bulletin,7,7,5,2003,2008,5,"{2003: 1, 2005: 1, 2006: 1, 2007: 1, 2008: 1}",Expected utility: a defense
55416568,International Journal of Procurement Management,1,1,215,2018,2023,5,"{2018: 2, 2019: 30, 2020: 55, 2021: 67, 2022: 46, 2023: 15}",Supplier selection and evaluation in military supply chain and Order allocation | Segmenting Critical Success Factor for Generating Corporate Entrepreneurship Based on Fuzzy DEMATEL and Fuzzy AHP in Iranian Institutes
134953813,Economics bulletin,5,17,4,2003,2008,5,"{2003: 1, 2004: 1, 2007: 1, 2008: 1}",Macroeconomic Effects of Inflation Targeting Policy in New Zealand
134953813,Economics bulletin,8,10,3,2003,2008,5,"{2003: 1, 2005: 1, 2008: 1}",The Importance of Self-Selection in Casino Cannibalization of State Lotteries
134953813,Economics bulletin,4,25,4,2003,2008,5,"{2003: 1, 2006: 1, 2007: 1, 2008: 1}",The Effect of Aggregation on the Magnitude of Behavioral Heterogeneity
2737685543,Revista Finanzas y Política Económica,2,2,5,2010,2015,5,"{2010: 3, 2015: 2}",Methodological approach of the gains / losses on government fiscal statistics | The theoretical overview of the regional economy and patterns of spatial analysis
137166528,International Journal of Knowledge Management Studies,1,1,31,2018,2023,5,"{2018: 2, 2019: 1, 2021: 10, 2022: 15, 2023: 3}",Does Ambidexterity in Leadership Strategies Influence Public Sectors KM Readiness in Terms of SECI Processes
82262387,Journal of Information Systems,28,2,26,2014,2019,5,"{2014: 18, 2019: 8}",Comparative Analysis of Work-Life Balance Issues between Korea and the United States | A Comparative Study on the Entrepreneurship Intentions of Korean and Chinese Preliminary Entrepreneurs
82262387,Journal of Information Systems,15,2,17,2001,2006,5,"{2001: 5, 2006: 12}",Accounting Information Systems Doctoral Dissertations: 2000 | The Relevance of Transformational Leadership to Nontraditional Accounting Services: Information Systems Assurance and Business Consulting
134953813,Economics bulletin,4,33,3,2003,2008,5,"{2003: 1, 2007: 1, 2008: 1}",A new proportional procedure for the n-person cake-cutting problem
9551102,International journal of central banking,11,3,6,2013,2018,5,"{2013: 1, 2015: 1, 2018: 4}","Large banks, loan rate markup and monetary policy"
134953813,Economics bulletin,5,18,3,2003,2008,5,"{2003: 1, 2004: 1, 2008: 1}",Exchange rate and trade balance in east asia: is there a J-curve?
134953813,Economics bulletin,3,15,5,2002,2007,5,"{2002: 1, 2003: 1, 2005: 1, 2006: 1, 2007: 1}",Testing Growth Ratios via Pooled Error Correction Models
86125002,Environmental and Resource Economics,71,2,12,2012,2017,5,"{2012: 1, 2017: 11}","Brown Growth, Green Growth, and the Efficiency of Urbanization"
178258306,Empirical Economics,30,1,13,2000,2005,5,"{2000: 1, 2005: 12}",Asymptotic Confidence Bands for the Estimated Autocovariance and Autocorrelation Functions of Vector Autoregressive Models
134953813,Economics bulletin,6,2,4,2002,2007,5,"{2002: 1, 2003: 1, 2006: 1, 2007: 1}","Comparative Advantage, Trade and Labour Standards"
59007373,Supply Chain Management An International Journal,14,3,9,2009,2014,5,"{2009: 8, 2014: 1}",A Survey of Disruptions in Aviation and Aerospace Supply Chains and Recommendations for Increasing Resilience
45992627,The Economic Journal,130,630,10,2015,2020,5,"{2015: 1, 2020: 9}",Gender Differences in Networking
4210214005,Latin American Journal of Central Banking,1,1-4,20,2015,2020,5,"{2015: 1, 2020: 19}","Interconnectedness, Systemic Crises and Recessions"
59007373,Supply Chain Management An International Journal,5,5,6,2000,2005,5,"{2000: 5, 2005: 1}",SCM-Implementierung auf der Basis einer Virtuellen Supply Chain Organisation
76844451,Annual Review of Resource Economics,7,1,23,2010,2015,5,"{2010: 1, 2015: 22}",The Bioeconomics of Spatial-Dynamic Systems in Natural Resource Management
136745531,Macroeconomic Dynamics,22,4,13,2013,2018,5,"{2013: 1, 2016: 6, 2017: 4, 2018: 2}",A GENERALIZED STEADY-STATE GROWTH THEOREM
4210186146,Economía Agraria y Recursos Naturales,3,6,9,2011,2016,5,"{2011: 7, 2016: 2}",Reseña de libro Environmental Policies for Agricultural Pollution Control | Reseña de libro Los instrumentos económicos en la gestión del agua en la agricultura
82262387,Journal of Information Systems,17,2,13,2003,2008,5,"{2003: 12, 2008: 1}","An Empirical Study on the Influence of Environmental, Organizational, IS Characteristics on the Organizational Balanced Performance of SCM Systems Tae-Soo Moon？Sung-Bae Kang"
199447588,Journal of Public Economics,94,9-10,15,2005,2010,5,"{2005: 1, 2010: 14}",Tax Revenue and (or?) Trade Liberalization
2764703659,Journal of Business & Economics Research (JBER),9,5,6,2011,2016,5,"{2011: 5, 2016: 1}",This manuscript is no longer available
5353659,The Journal of Finance,61,3,16,2001,2006,5,"{2001: 1, 2006: 15}",Uncovering the Risk-Return Relation in the Stock Market
16296580,Southern Economic Journal,74,4,15,2003,2008,5,"{2003: 1, 2008: 14}",Another Look at Yield Spreads: The Role of Liquidity
2058785,Journal of money credit and banking,43,4,9,2006,2011,5,"{2006: 1, 2011: 8}",Monetary Policy in the Media
102949365,Strategic Management Journal,23,11,8,2002,2007,5,"{2002: 7, 2007: 1}","Choice, chance and inevitability in strategy"
37173775,European Journal of Law and Economics,45,2,7,2013,2018,5,"{2013: 1, 2014: 1, 2016: 2, 2017: 2, 2018: 1}",Freedom of association in labour relations in the context of the Maqasid-al-Shari’ah principles
61971679,The Journal of private enterprise,31,3,3,2011,2016,5,"{2011: 1, 2015: 1, 2016: 1}",Boon or Bust; Wilderness Designation and Regional Economies
134953813,Economics bulletin,4,30,3,2003,2008,5,"{2003: 1, 2007: 1, 2008: 1}",On a property of mixed strategy equilibria of the pricing game
