journal,source_id,journal_name,ISSN,verified
SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,https://openalex.org/S2765061010,Global Ecology and Conservation,2351-9894,True
ASIAN BUSINESS & MANAGEMENT,https://openalex.org/S82593474,Asian Business & Management,1472-4782,True
AUSTRALIAN JOURNAL OF MANAGEMENT,https://openalex.org/S177092143,Australian Journal of Management,0312-8962,True
BRQ-BUSINESS RESEARCH QUARTERLY,https://openalex.org/S4210181109,Studies in Communication and Media,2192-4007,True
CROSS CULTURAL & STRATEGIC MANAGEMENT,https://openalex.org/S4210210387,Cross Cultural & Strategic Management,2059-5794,True
ECONOMETRIC THEORY,https://openalex.org/S4210186733,Ecosystems and People,2639-5916,True
ECONOMIC THEORY,https://openalex.org/S579031,Economic Theory,0938-2259,True
INNOVATION-ORGANIZATION & MANAGEMENT,https://openalex.org/S199690760,Innovation,1447-9338,True
INTERNATIONAL JOURNAL OF FORECASTING,https://openalex.org/S4210201025,Trees Forests and People,2666-7193,True
JOURNAL OF COMMODITY MARKETS,https://openalex.org/S4210186733,Ecosystems and People,2639-5916,True
JOURNAL OF FINANCIAL RESEARCH,https://openalex.org/S74917840,The Journal of Financial Research,0270-2592,True
JOURNAL OF LEADERSHIP & ORGANIZATIONAL STUDIES,https://openalex.org/S4210223594,Frontiers in Conservation Science,2673-611X,True
JOURNAL OF MACROMARKETING,https://openalex.org/S2737234030,Remote Sensing in Ecology and Conservation,2056-3485,True
KYKLOS,https://openalex.org/S91661715,Kyklos,0023-5962,True
ACCOUNTING AND BUSINESS RESEARCH,https://openalex.org/S4210213052,Frontiers in Climate,2624-9553,True
CHINA ECONOMIC REVIEW,https://openalex.org/S19645890,China Economic Review,1043-951X,True
EMERGING MARKETS REVIEW,https://openalex.org/S197112600,Emerging Markets Review,1566-0141,True
GENEVA RISK AND INSURANCE REVIEW,https://openalex.org/S194824457,The Geneva Risk and Insurance Review,1554-964X,True
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,https://openalex.org/S2764962273,Risk Management and Healthcare Policy,1179-1594,True
JOURNAL OF INDUSTRIAL ECONOMICS,https://openalex.org/S99067594,Journal of Industrial Economics,0022-1821,True
JOURNAL OF INTERNATIONAL FINANCIAL MARKETS INSTITUTIONS & MONEY,https://openalex.org/S82743730,Journal of International Financial Markets Institutions and Money,1042-4431,True
MARKETING INTELLIGENCE & PLANNING,https://openalex.org/S29817978,Marketing Intelligence & Planning,0263-4503,True
PACIFIC-BASIN FINANCE JOURNAL,https://openalex.org/S4210178346,Frontiers in Forests and Global Change,2624-893X,True
REAL ESTATE ECONOMICS,https://openalex.org/S4210233593,Galactica Media Journal of Media Studies,2658-7734,True
REVIEW OF INCOME AND WEALTH,https://openalex.org/S2898249226,Journal of Healthcare Quality Research,2603-6479,True
ACCOUNTING FORUM,https://openalex.org/S131296671,Accounting Forum,0155-9982,True
COMPETITION & CHANGE,https://openalex.org/S4210237622,Project Leadership and Society,2666-7215,True
CONSUMPTION MARKETS & CULTURE,https://openalex.org/S4210213968,One Ecosystem,2367-8194,True
ECONOMIC MODELLING,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
EUROPEAN JOURNAL OF FINANCE,https://openalex.org/S82316188,European Journal of Finance,1351-847X,True
GERMAN JOURNAL OF HUMAN RESOURCE MANAGEMENT-ZEITSCHRIFT FUR PERSONALFORSCHUNG,https://openalex.org/S3022066471,German Journal of Human Resource Management Zeitschrift für Personalforschung,2397-0022,True
JOURNAL OF HOUSING ECONOMICS,https://openalex.org/S2765002792,International Journal of Health Policy and Management,2322-5939,True
JOURNAL OF RISK AND INSURANCE,https://openalex.org/S116483603,Journal of Risk & Insurance,0022-4367,True
AMERICAN LAW AND ECONOMICS REVIEW,https://openalex.org/S53993439,American Law and Economics Review,1465-7252,True
ASIA PACIFIC JOURNAL OF HUMAN RESOURCES,https://openalex.org/S206927904,Asia Pacific Journal of Human Resources,1038-4111,True
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,https://openalex.org/S179517972,Canadian Journal of Agricultural Economics/Revue canadienne d agroeconomie,0008-3976,True
ECONOMIC HISTORY REVIEW,https://openalex.org/S2764528117,International Journal for Population Data Science,2399-4908,True
HUMAN RESOURCE DEVELOPMENT QUARTERLY,https://openalex.org/S191693275,Human Resource Development Quarterly,1044-8004,True
INTERNATIONAL JOURNAL OF LOGISTICS-RESEARCH AND APPLICATIONS,https://openalex.org/S25370267,Journal of Policy Analysis and Management,1520-6688,True
INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,https://openalex.org/S4306505840,Central and Eastern European Migration Review,2300-1682,True
JOURNAL OF COMPETITION LAW & ECONOMICS,https://openalex.org/S4210186350,Journal of Competition Law & Economics,1744-6414,True
JOURNAL OF FASHION MARKETING AND MANAGEMENT,https://openalex.org/S191114782,Journal of Fashion Marketing and Management,1361-2026,True
JOURNAL OF INTELLECTUAL CAPITAL,https://openalex.org/S2898359650,Operations Research Perspectives,2214-7160,True
JOURNAL OF MANAGEMENT & ORGANIZATION,https://openalex.org/S8124760,Journal of Management & Organization,1833-3672,True
LEADERSHIP,https://openalex.org/S95314075,Leadership,1742-7150,True
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,https://openalex.org/S4210205517,MDM Policy & Practice,2381-4683,True
PROJECT MANAGEMENT JOURNAL,https://openalex.org/S4210186733,Ecosystems and People,2639-5916,True
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,https://openalex.org/S4210235149,Frontiers in Sustainable Cities,2624-9634,True
ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,https://openalex.org/S4210214252,Risks,2227-9091,True
ASIA-PACIFIC JOURNAL OF FINANCIAL STUDIES,https://openalex.org/S4210194729,Feminist Media Histories,2373-7492,True
BUSINESS ETHICS THE ENVIRONMENT & RESPONSIBILITY,https://openalex.org/S4210186733,Ecosystems and People,2639-5916,True
ECONOMICS & POLITICS,https://openalex.org/S197981039,Economics and Politics,0954-1985,True
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,https://openalex.org/S204453222,Therapeutics and Clinical Risk Management,1178-203X,True
ENERGY JOURNAL,https://openalex.org/S4210240812,ISME Communications,2730-6151,True
FEDERAL RESERVE BANK OF ST LOUIS REVIEW,https://openalex.org/S43156200,Review,0014-9187,True
GLOBAL FINANCE JOURNAL,https://openalex.org/S204453222,Therapeutics and Clinical Risk Management,1178-203X,True
HEALTH ECONOMICS,https://openalex.org/S77368557,Health and Quality of Life Outcomes,1477-7525,True
INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,https://openalex.org/S38901890,International Journal of Accounting Information Systems,1467-0895,True
INTERNATIONAL JOURNAL OF MARKET RESEARCH,https://openalex.org/S25370267,Journal of Policy Analysis and Management,1520-6688,True
JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,https://openalex.org/S97042997,Jahrbücher für Nationalökonomie und Statistik,0021-4027,True
JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,https://openalex.org/S4210225048,The Lancet Regional Health - Western Pacific,2666-6065,True
JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,https://openalex.org/S83262020,Journal of International Financial Management and Accounting,0954-1314,True
JOURNAL OF PENSION ECONOMICS & FINANCE,https://openalex.org/S73680622,Journal of Pensions Economics and Finance,1474-7472,True
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,https://openalex.org/S92565720,Oxford Bulletin of Economics and Statistics,0305-9049,True
RESEARCH-TECHNOLOGY MANAGEMENT,https://openalex.org/S4220650797,PLOS Climate,2767-3200,True
BALTIC JOURNAL OF MANAGEMENT,https://openalex.org/S153849593,Baltic Journal of Management,1746-5265,True
ECONOMICS LETTERS,https://openalex.org/S36178057,Economics Letters,0165-1765,True
EMERGING MARKETS FINANCE AND TRADE,https://openalex.org/S130273055,Diversity,1424-2818,True
GENDER IN MANAGEMENT,https://openalex.org/S4210236858,Health Policy OPEN,2590-2296,True
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,https://openalex.org/S154533451,IEEE Transactions on Engineering Management,0018-9391,True
INFORMATION ECONOMICS AND POLICY,https://openalex.org/S169221615,Information Economics and Policy,0167-6245,True
INTERNATIONAL JOURNAL OF AUDITING,https://openalex.org/S152372256,International Journal of Auditing,1090-6738,True
INTERNATIONAL JOURNAL OF BANK MARKETING,https://openalex.org/S4210213052,Frontiers in Climate,2624-9553,True
INTERNATIONAL JOURNAL OF MANPOWER,https://openalex.org/S4210212205,Frontiers in Sustainability,2673-4524,True
JOURNAL OF CONTEMPORARY ACCOUNTING & ECONOMICS,https://openalex.org/S142725411,Journal of Contemporary Accounting & Economics,1815-5669,True
MACROECONOMIC DYNAMICS,https://openalex.org/S4210202184,Connectist Istanbul University Journal of Communication Sciences,2636-8943,True
REVIEW OF INDUSTRIAL ORGANIZATION,https://openalex.org/S4210237622,Project Leadership and Society,2666-7215,True
ACCOUNTING AND FINANCE,https://openalex.org/S4210171597,Accounting and Finance,0810-5391,True
ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,https://openalex.org/S4210226095,Telemedicine Reports,2692-4366,True
ENVIRONMENTAL & RESOURCE ECONOMICS,https://openalex.org/S2765002792,International Journal of Health Policy and Management,2322-5939,True
JOURNAL OF AFRICAN ECONOMIES,https://openalex.org/S36588791,Journal of African Economies,0963-8024,True
JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS,https://openalex.org/S4210233753,Journal of Behavioral and Experimental Economics,2214-8043,True
JOURNAL OF CREDIT RISK,https://openalex.org/S4210233593,Galactica Media Journal of Media Studies,2658-7734,True
JOURNAL OF PORTFOLIO MANAGEMENT,https://openalex.org/S4210181528,African Journal of Employee Relations,2664-3731,True
MANAGEMENT COMMUNICATION QUARTERLY,https://openalex.org/S4210213968,One Ecosystem,2367-8194,True
QUARTERLY REVIEW OF ECONOMICS AND FINANCE,https://openalex.org/S2764395403,Ecological Processes,2192-1709,True
SERVICE SCIENCE,https://openalex.org/S2764807039,Service Science,2164-3962,True
WORK AGING AND RETIREMENT,https://openalex.org/S2736194237,Work Aging and Retirement,2054-4642,True
APPLIED ECONOMIC PERSPECTIVES AND POLICY,https://openalex.org/S4210214101,Healthcare,2227-9032,True
BUSINESS PROCESS MANAGEMENT JOURNAL,https://openalex.org/S2764395403,Ecological Processes,2192-1709,True
CONTEMPORARY ECONOMIC POLICY,https://openalex.org/S185930956,Contemporary Economic Policy,1074-3529,True
CORNELL HOSPITALITY QUARTERLY,https://openalex.org/S4387286577,JMIR AI,2817-1705,True
ECONOMIST-NETHERLANDS,https://openalex.org/S37814254,De Economist,0013-063X,True
EUROPEAN JOURNAL OF POLITICAL ECONOMY,https://openalex.org/S175935889,Mammal Review,1365-2907,True
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,https://openalex.org/S32361082,European Review of Agricultural Economics,0165-1587,True
JOURNAL OF CULTURAL ECONOMICS,https://openalex.org/S31225034,Journal of Cultural Economics,0885-2545,True
JOURNAL OF FUTURES MARKETS,https://openalex.org/S136612413,Journal of Futures Markets,0270-7314,True
ORGANIZATIONAL DYNAMICS,https://openalex.org/S4210179146,Business Strategy & Development,2572-3170,True
OXFORD ECONOMIC PAPERS-NEW SERIES,https://openalex.org/S4210232010,Journalism and Media,2673-5172,True
SCOTTISH JOURNAL OF POLITICAL ECONOMY,https://openalex.org/S111496547,Scottish Journal of Political Economy,0036-9292,True
TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,https://openalex.org/S2898359650,Operations Research Perspectives,2214-7160,True
CULTURE AND ORGANIZATION,https://openalex.org/S1076045,Culture and Organization,1475-9551,True
ECOLOGICAL ECONOMICS,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
ECONOMIC ANALYSIS AND POLICY,https://openalex.org/S2898574612,Economic Analysis and Policy,0313-5926,True
EURASIAN BUSINESS REVIEW,https://openalex.org/S4210178999,Ecologies,2673-4133,True
EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,https://openalex.org/S118637542,European J of International Management,1751-6757,True
FOOD POLICY,https://openalex.org/S2596093566,Frontiers in Communication,2297-900X,True
INTERNATIONAL TAX AND PUBLIC FINANCE,https://openalex.org/S42192170,International Tax and Public Finance,0927-5940,True
JOURNAL OF ASIAN ECONOMICS,https://openalex.org/S4210236858,Health Policy OPEN,2590-2296,True
JOURNAL OF MATHEMATICAL ECONOMICS,https://openalex.org/S202934171,Journal of Mathematical Economics,0304-4068,True
JOURNAL OF POLICY MODELING,https://openalex.org/S4220650797,PLOS Climate,2767-3200,True
JOURNAL OF PUBLIC ECONOMIC THEORY,https://openalex.org/S184446198,Journal of Public Economic Theory,1097-3923,True
REVISTA DE HISTORIA ECONOMICA,https://openalex.org/S50758683,Revista de Historia Econ�mica / Journal of Iberian and Latin American Economic History,0212-6109,False
STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,https://openalex.org/S67638930,Structural Change and Economic Dynamics,0954-349X,True
ASIA PACIFIC BUSINESS REVIEW,https://openalex.org/S117460449,Asia Pacific Business Review,1360-2381,True
BORSA ISTANBUL REVIEW,https://openalex.org/S2764882396,Borsa Istanbul Review,2214-8450,True
CHINESE MANAGEMENT STUDIES,https://openalex.org/S149205526,Chinese Management Studies,1750-614X,True
ECONOMIC SYSTEMS,https://openalex.org/S206007305,Economic Systems,0939-3625,True
ENTREPRENEURSHIP RESEARCH JOURNAL,https://openalex.org/S2764465404,Entrepreneurship Research Journal,2194-6175,True
EUROPEAN RESEARCH ON MANAGEMENT AND BUSINESS ECONOMICS,https://openalex.org/S2898275063,European Research on Management and Business Economics,2444-8834,True
FINANCIAL INNOVATION,https://openalex.org/S2596093566,Frontiers in Communication,2297-900X,True
INTERNATIONAL JOURNAL OF EMERGING MARKETS,https://openalex.org/S4210223291,npj Urban Sustainability,2661-8001,True
INTERNATIONAL REVIEW OF FINANCE,https://openalex.org/S2737234030,Remote Sensing in Ecology and Conservation,2056-3485,True
INTERNATIONAL REVIEW OF LAW AND ECONOMICS,https://openalex.org/S2764472888,Central European Business Review,1805-4862,True
JOURNAL OF CONSUMER AFFAIRS,https://openalex.org/S4210205517,MDM Policy & Practice,2381-4683,True
JOURNAL OF INFORMATION SYSTEMS,https://openalex.org/S82262387,Journal of Information Systems,0888-7985,True
JOURNAL OF MACROECONOMICS,https://openalex.org/S176795851,Journal of Macroeconomics,0164-0704,True
JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,https://openalex.org/S197145128,Journal of Organizational Change Management,0953-4814,True
JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH,https://openalex.org/S27967161,Journal of theoretical and applied electronic commerce research,0718-1876,True
NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,https://openalex.org/S155526628,The North American Journal of Economics and Finance,1062-9408,True
PUBLIC MANAGEMENT REVIEW,https://openalex.org/S37623806,Public Management Review,1471-9037,True
QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,https://openalex.org/S76239586,Qualitative Research in Accounting & Management,1176-6093,True
RESOURCE AND ENERGY ECONOMICS,https://openalex.org/S2898431940,The Journal of Finance and Data Science,2405-9188,True
REVIEW OF WORLD ECONOMICS,https://openalex.org/S78091837,Review of World Economics,1610-2878,True
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,https://openalex.org/S201675752,Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,0825-0383,True
CAREER DEVELOPMENT INTERNATIONAL,https://openalex.org/S182336501,Career Development International,1362-0436,True
CHINA & WORLD ECONOMY,https://openalex.org/S48661868,China & World Economy,1671-2234,True
CLIMATE CHANGE ECONOMICS,https://openalex.org/S26772273,Climate Change Economics,2010-0078,True
ELECTRONIC COMMERCE RESEARCH,https://openalex.org/S4210179146,Business Strategy & Development,2572-3170,True
EMPLOYEE RELATIONS,https://openalex.org/S4210219530,Geographies,2673-7086,True
JOURNAL OF BEHAVIORAL FINANCE,https://openalex.org/S94083415,Journal of Behavioral Finance,1542-7560,True
JOURNAL OF FORECASTING,https://openalex.org/S122161766,Journal of Forecasting,0277-6693,True
JOURNAL OF INSTITUTIONAL ECONOMICS,https://openalex.org/S146268463,Journal of Institutional Economics,1744-1374,True
JOURNAL OF MANAGEMENT ANALYTICS,https://openalex.org/S4210210207,Journal of Management Analytics,2327-0012,True
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,https://openalex.org/S97886924,Journal of Organizational Behavior Management,0160-8061,True
JOURNAL OF SOCIAL MARKETING,https://openalex.org/S187785683,Hipertext net Revista Académica sobre Documentación Digital y Comunicación Interactiva,1695-5498,True
MANAGERIAL AUDITING JOURNAL,https://openalex.org/S136661304,Managerial Auditing Journal,0268-6902,True
WORLD ECONOMY,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
ASIAN JOURNAL OF TECHNOLOGY INNOVATION,https://openalex.org/S4210219734,National Accounting Review,2689-3010,True
AUSTRALIAN ACCOUNTING REVIEW,https://openalex.org/S2764631794,Journal of Cancer Policy,2213-5383,True
CHINA AGRICULTURAL ECONOMIC REVIEW,https://openalex.org/S171031257,China Agricultural Economic Review,1756-137X,True
ECONOMIC RECORD,https://openalex.org/S130179515,Economic Record,0013-0249,True
ECONOMICS & HUMAN BIOLOGY,https://openalex.org/S19927788,Economics & Human Biology,1570-677X,True
EUROPEAN JOURNAL OF LAW AND ECONOMICS,https://openalex.org/S37173775,European Journal of Law and Economics,0929-1261,True
FEMINIST ECONOMICS,https://openalex.org/S148397273,Feminist Economics,1354-5701,True
GERMAN ECONOMIC REVIEW,https://openalex.org/S13669392,German Economic Review,1465-6485,True
INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,https://openalex.org/S146099957,International Journal of Finance & Economics,1076-9307,True
JOURNAL OF BUSINESS-TO-BUSINESS MARKETING,https://openalex.org/S4210235745,Istanbul Business Research,2630-5488,True
JOURNAL OF COMPETITIVENESS,https://openalex.org/S4210186250,Journal of Competitiveness,1804-171X,True
JOURNAL OF ECONOMIC INEQUALITY,https://openalex.org/S4210202650,Academy of Management Discoveries,2168-1007,True
MANCHESTER SCHOOL,https://openalex.org/S4210212473,Türkiye İletişim Araştırmaları Dergisi,2630-6220,True
MATHEMATICAL FINANCE,https://openalex.org/S133335107,Mathematical Finance,0960-1627,True
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,https://openalex.org/S4210178346,Frontiers in Forests and Global Change,2624-893X,True
REVIEW OF INTERNATIONAL ECONOMICS,https://openalex.org/S4306516410,Journal of wildlife and biodiversity,2588-3526,True
SERIES-JOURNAL OF THE SPANISH ECONOMIC ASSOCIATION,https://openalex.org/S204467137,SERIEs,1869-4187,True
SOUTHERN ECONOMIC JOURNAL,https://openalex.org/S4210181109,Studies in Communication and Media,2192-4007,True
AGRICULTURAL ECONOMICS,https://openalex.org/S2898359650,Operations Research Perspectives,2214-7160,True
BUSINESS HISTORY,https://openalex.org/S2737296559,Economies,2227-7099,True
CAMBRIDGE JOURNAL OF ECONOMICS,https://openalex.org/S67103694,Cambridge Journal of Economics,0309-166X,True
ECONOMIC AND LABOUR RELATIONS REVIEW,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
EMPIRICAL ECONOMICS,https://openalex.org/S4210214252,Risks,2227-9091,True
ENVIRONMENT AND DEVELOPMENT ECONOMICS,https://openalex.org/S4210213968,One Ecosystem,2367-8194,True
INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT,https://openalex.org/S4210169251,Communiquer Revue de communication sociale et publique,2368-9587,True
JAPANESE ECONOMIC REVIEW,https://openalex.org/S41930762,Japanese Economic Review,1352-4739,True
JOURNAL OF ECONOMICS,https://openalex.org/S107033909,Journal of Economics,0931-8658,True
JOURNAL OF EVOLUTIONARY ECONOMICS,https://openalex.org/S4210239069,REVISTA ESPAÑOLA DE COMUNICACIÓN EN SALUD,1989-9882,True
JOURNAL OF FAMILY AND ECONOMIC ISSUES,https://openalex.org/S4210224032,Journal of Family and Economic Issues,1058-0476,True
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,https://openalex.org/S160393188,Journal of the Japanese and International Economies,0889-1583,True
JOURNAL OF THE KNOWLEDGE ECONOMY,https://openalex.org/S60370010,Journal of the Knowledge Economy,1868-7865,False
JOURNAL OF VACATION MARKETING,https://openalex.org/S83271458,Journal Of Vacation Marketing,1356-7667,True
MANAGERIAL AND DECISION ECONOMICS,https://openalex.org/S138400101,Managerial and Decision Economics,0143-6570,True
NONPROFIT MANAGEMENT & LEADERSHIP,https://openalex.org/S3593595,Australian Journal of Agricultural and Resource Economics,1467-8489,True
OPEN ECONOMIES REVIEW,https://openalex.org/S129650269,Open Economies Review,0923-7992,True
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,https://openalex.org/S4210220774,People and Nature,2575-8314,True
SYSTEM DYNAMICS REVIEW,https://openalex.org/S4306516410,Journal of wildlife and biodiversity,2588-3526,True
THEORY AND DECISION,https://openalex.org/S134979503,Theory and Decision,0040-5833,True
TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,https://openalex.org/S4210220774,People and Nature,2575-8314,True
APPLIED ECONOMICS,https://openalex.org/S4210235152,Frontiers in Human Dynamics,2673-2726,True
B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,https://openalex.org/S55074384,The B E Journal of Economic Analysis & Policy,2194-6108,True
COMPTABILITE CONTROLE AUDIT,https://openalex.org/S187785683,Hipertext net Revista Académica sobre Documentación Digital y Comunicación Interactiva,1695-5498,True
DEFENCE AND PEACE ECONOMICS,https://openalex.org/S187785683,Hipertext net Revista Académica sobre Documentación Digital y Comunicación Interactiva,1695-5498,True
ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,https://openalex.org/S1014724869,Economic Research-Ekonomska Istra?ivanja,1331-677X,False
INFORMS JOURNAL ON APPLIED ANALYTICS,https://openalex.org/S4210179146,Business Strategy & Development,2572-3170,True
INTERNATIONAL FINANCE,https://openalex.org/S4387290458,Health Affairs Scholar,2976-5390,True
INTERNATIONAL JOURNAL OF ARTS MANAGEMENT,https://openalex.org/S4363607656,International Journal of Arts Management,1480-8986,False
INTERNATIONAL JOURNAL OF LEAN SIX SIGMA,https://openalex.org/S4404676495,SEARCH.,2672-7080,True
INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS,https://openalex.org/S81125728,International Journal of Managing Projects in Business,1753-8378,True
JOURNAL OF AGRICULTURAL ECONOMICS,https://openalex.org/S185874209,BMC Medical Research Methodology,1471-2288,True
JOURNAL OF MARKETING FOR HIGHER EDUCATION,https://openalex.org/S4387286577,JMIR AI,2817-1705,True
JOURNAL OF PRODUCTIVITY ANALYSIS,https://openalex.org/S34280410,Journal of Productivity Analysis,0895-562X,True
JOURNAL OF SPORTS ECONOMICS,https://openalex.org/S4210180908,Financial Internet Quarterly,2719-3454,True
JOURNAL OF THE ECONOMICS OF AGEING,https://openalex.org/S75242794,Human Resources for Health,1478-4491,True
MANAGEMENT & ORGANIZATIONAL HISTORY,https://openalex.org/S168697966,Management & Organizational History,1744-9359,True
OECONOMIA COPERNICANA,https://openalex.org/S4210169251,Communiquer Revue de communication sociale et publique,2368-9587,True
QUANTITATIVE FINANCE,https://openalex.org/S182689569,Quantitative Finance,1469-7688,True
TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,https://openalex.org/S115091506,Technological and Economic Development of Economy,2029-4913,True
APPLIED ECONOMICS LETTERS,https://openalex.org/S2738395297,Journal of ETA Maritime Science,2148-9386,True
ASIA-PACIFIC JOURNAL OF ACCOUNTING & ECONOMICS,https://openalex.org/S4210203108,Asia-Pacific Journal of Accounting & Economics,1608-1625,True
AUSTRALIAN ECONOMIC PAPERS,https://openalex.org/S57522439,Australian Economic Papers,0004-900X,True
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,https://openalex.org/S3593595,Australian Journal of Agricultural and Resource Economics,1467-8489,True
COMPUTATIONAL ECONOMICS,https://openalex.org/S4210171885,JMIR Infodemiology,2564-1891,True
DECISION ANALYSIS,https://openalex.org/S4210222621,ACCESS Access to science business innovation in digital economy,2683-1007,True
ECONOMIC CHANGE AND RESTRUCTURING,https://openalex.org/S4210193400,Economic Change and Restructuring,1573-9414,True
ECONOMIC DEVELOPMENT QUARTERLY,https://openalex.org/S4210225048,The Lancet Regional Health - Western Pacific,2666-6065,True
ECONOMICS OF TRANSITION AND INSTITUTIONAL CHANGE,https://openalex.org/S4210198644,Economics of Transition and Institutional Change,2577-6975,True
FINANCE AND STOCHASTICS,https://openalex.org/S172526255,Finance and Stochastics,0949-2984,True
FUTURES,https://openalex.org/S2764962273,Risk Management and Healthcare Policy,1179-1594,True
INTERNATIONAL JOURNAL OF ISLAMIC AND MIDDLE EASTERN FINANCE AND MANAGEMENT,https://openalex.org/S157427695,International Journal of Islamic and Middle Eastern Finance and Management,1753-8394,True
JOURNAL OF APPLIED ECONOMICS,https://openalex.org/S40285785,Journal of Applied Economics,1514-0326,True
JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,https://openalex.org/S4210186733,Ecosystems and People,2639-5916,True
JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT,https://openalex.org/S117541660,Journal of Contingencies and Crisis Management,0966-0879,True
JOURNAL OF ECONOMIC EDUCATION,https://openalex.org/S128621090,The Journal of Economic Education,0022-0485,True
JOURNAL OF ECONOMIC POLICY REFORM,https://openalex.org/S74096415,Journal of Economic Policy Reform,1748-7870,True
JOURNAL OF HUMAN CAPITAL,https://openalex.org/S196716848,Journal of Human Capital,1932-8575,True
JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,https://openalex.org/S4210231521,Data Science in Finance and Economics,2769-2140,True
JOURNAL OF REGULATORY ECONOMICS,https://openalex.org/S114801022,Journal of Regulatory Economics,0922-680X,True
MARINE RESOURCE ECONOMICS,https://openalex.org/S4210232010,Journalism and Media,2673-5172,True
NEW POLITICAL ECONOMY,https://openalex.org/S146242404,New Political Economy,1356-3467,True
REVIEW OF DEVELOPMENT ECONOMICS,https://openalex.org/S95496512,Review of Development Economics,1363-6669,True
REVUE D ECONOMIE POLITIQUE,https://openalex.org/S945769174,Revue d économie politique,0373-2630,True
SIAM JOURNAL ON FINANCIAL MATHEMATICS,https://openalex.org/S4210200664,NEJM Catalyst,2642-0007,True
SOCIO-ECONOMIC PLANNING SCIENCES,https://openalex.org/S153485742,Socio-Economic Planning Sciences,0038-0121,True
STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,https://openalex.org/S193530623,Studies in Nonlinear Dynamics and Econometrics,1081-1826,True
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,https://openalex.org/S126013225,Systems Research and Behavioral Science,1092-7026,True
WORLD BANK RESEARCH OBSERVER,https://openalex.org/S4210174142,Urban Science,2413-8851,True
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,https://openalex.org/S4210179427,Academia Revista Latinoamericana de Administración,1012-8255,True
ACTA OECONOMICA,https://openalex.org/S104354167,Acta Oeconomica,0001-6373,True
ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,https://openalex.org/S4210193178,Organization Theory,2631-7877,True
ASIAN ECONOMIC JOURNAL,https://openalex.org/S116662517,Asian Economic Journal,1351-3958,True
