journal,ISSN,eISSN,categories
Reports of Forestry Research-Zpravy Lesnickeho Vyzkumu,0322-9688,1805-9872,[FORESTRY]
SEEFOR-South-East European Forestry,1847-6481,1849-0891,[FORESTRY]
Austrian Journal of Forest Science,0379-5292,0375-524X,[FORESTRY]
Indonesian Journal of Forestry Research,2355-7079,2406-8195,[FORESTRY]
OPTIMIZATION,0233-1934,1029-4945,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Operational Research,1109-2858,1866-1505,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Sustainable Futures,2666-1888,2666-1888,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH,0217-5959,1793-7019,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,0924-6703,1573-7594,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Decision Science Letters,1929-5804,1929-5812,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Digital Journalism,2167-0811,2167-082X,[COMMUNICATION]
TELECOMMUNICATIONS POLICY,0308-5961,1879-3258,[COMMUNICATION]
POLITICAL COMMUNICATION,1058-4609,1091-7675,[COMMUNICATION]
Annals of the International Communication Association,2380-8985,2380-8977,[COMMUNICATION]
QUARTERLY JOURNAL OF SPEECH,0033-5630,1479-5779,[COMMUNICATION]
International Journal of Strategic Communication,1553-118X,1553-1198,[COMMUNICATION]
Media War and Conflict,1750-6352,1750-6360,[COMMUNICATION]
Palabra Clave,0122-8285,2027-534X,[COMMUNICATION]
Analisi-Quaderns de Comunicacio i Cultura,0211-2175,2340-5236,[COMMUNICATION]
Comunicacion y Medios,0716-3991,0719-1529,[COMMUNICATION]
Mediaciones Sociales,1989-0494,1989-0494,[COMMUNICATION]
Journal of Industrial Relations,0022-1856,1472-9296,[INDUSTRIAL RELATIONS & LABOR]
Transfer-European Review of Labour and Research,1024-2589,1996-7284,[INDUSTRIAL RELATIONS & LABOR]
IZA Journal of Labor Policy,2193-9004,2193-9004,[INDUSTRIAL RELATIONS & LABOR]
New Horizons in Adult Education and Human Resource Development,1939-4225,1939-4225,[INDUSTRIAL RELATIONS & LABOR]
Health Policy and Technology,2211-8837,N/A,[HEALTH POLICY & SERVICES]
CLINICAL SUPERVISOR,0732-5223,1545-231X,[HEALTH POLICY & SERVICES]
JOURNAL OF CLINICAL EPIDEMIOLOGY,0895-4356,1878-5921,[HEALTH CARE SCIENCES & SERVICES]
Healthcare,N/A,2227-9032,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Implementation Science,1748-5908,1748-5908,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
VALUE IN HEALTH,1098-3015,1524-4733,"[ECONOMICS, HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JOURNAL OF MEDICAL SYSTEMS,0148-5598,1573-689X,[HEALTH CARE SCIENCES & SERVICES]
JBI Evidence Synthesis,N/A,2689-8381,[HEALTH CARE SCIENCES & SERVICES]
Ethiopian Journal of Health Sciences,1029-1857,2413-7170,[HEALTH CARE SCIENCES & SERVICES]
Geospatial Health,1827-1987,1970-7096,[HEALTH CARE SCIENCES & SERVICES]
JMIR Diabetes,2371-4379,2371-4379,[HEALTH CARE SCIENCES & SERVICES]
Telemedicine Reports,N/A,2692-4366,[HEALTH CARE SCIENCES & SERVICES]
Human Factors in Healthcare,N/A,2772-5014,[HEALTH CARE SCIENCES & SERVICES]
Global & Regional Health Technology Assessment,2284-2403,2283-5733,[HEALTH CARE SCIENCES & SERVICES]
ACCOUNTING REVIEW,0001-4826,1558-7967,"['BUSINESS, FINANCE']"
JOURNAL OF CORPORATE FINANCE,0929-1199,1872-6313,"['BUSINESS, FINANCE']"
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,0022-1090,1756-6916,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of International Financial Markets Institutions & Money,1042-4431,1873-0612,"['BUSINESS, FINANCE', ECONOMICS]"
Accounting and Finance,0810-5391,1467-629X,"['BUSINESS, FINANCE']"
Journal of Sustainable Finance & Investment,2043-0795,2043-0809,"['BUSINESS, FINANCE']"
European Financial Management,1354-7798,1468-036X,"['BUSINESS, FINANCE']"
Accounting Education,0963-9284,1468-4489,"['BUSINESS, FINANCE']"
International Journal of Accounting,1094-4060,2213-3933,"['BUSINESS, FINANCE']"
Asian Review of Accounting,1321-7348,1758-8863,"['BUSINESS, FINANCE']"
Journal of International Accounting Research,1542-6297,1558-8025,"['BUSINESS, FINANCE']"
Data Science in Finance and Economics,N/A,2769-2140,"['BUSINESS, FINANCE', ECONOMICS]"
Revista Ambiente Contabil,2176-9036,2176-9036,"['BUSINESS, FINANCE']"
LEADERSHIP QUARTERLY,1048-9843,1873-3409,[MANAGEMENT]
CALIFORNIA MANAGEMENT REVIEW,0008-1256,2162-8564,"[BUSINESS, MANAGEMENT]"
European Journal of Innovation Management,1460-1060,1758-7115,"[BUSINESS, MANAGEMENT]"
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,0963-8687,1873-1198,[MANAGEMENT]
Equality Diversity and Inclusion,2040-7149,2040-7157,[MANAGEMENT]
Journal of Science and Technology Policy Management,2053-4620,1758-5538,[MANAGEMENT]
Management,1286-4692,1286-4692,[MANAGEMENT]
International Journal of Training and Development,1360-3736,1468-2419,[MANAGEMENT]
Strategy Science,2333-2050,2333-2077,[MANAGEMENT]
IMA Journal of Management Mathematics,1471-678X,1471-6798,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
Nankai Business Review International,2040-8749,2040-8757,[MANAGEMENT]
Construction Economics and Building,1835-6354,1837-9133,[MANAGEMENT]
Journal of Industrial Integration and Management-Innovation and Entrepreneurship,2424-8622,2424-8630,[MANAGEMENT]
TRANSPORTATION JOURNAL,0041-1612,2157-328X,"[MANAGEMENT, TRANSPORTATION]"
INTERNATIONAL JOURNAL OF LEARNING AND INTELLECTUAL CAPITAL,1479-4853,1479-4861,"[BUSINESS, MANAGEMENT]"
Negotiation and Conflict Management Research,1750-4708,1750-4716,[MANAGEMENT]
International Journal of Organizational Leadership,2383-1103,2345-6744,[MANAGEMENT]
Indian Economic Review,0019-4670,2520-1778,"[BUSINESS, ECONOMICS, MANAGEMENT]"
BETRIEBSWIRTSCHAFTLICHE FORSCHUNG UND PRAXIS,0340-5370,0340-5370,"[BUSINESS, MANAGEMENT]"
European Journal of Family Business,2444-8788,2444-877X,"[BUSINESS, MANAGEMENT]"
Tec Empresarial,1659-2395,1659-2395,[MANAGEMENT]
Revista Gestao Organizacional,1983-6635,1983-6635,[MANAGEMENT]
JIMS8M-The Journal of Indian Management & Strategy,0973-9335,0973-9343,[MANAGEMENT]
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,0885-8624,2052-1189,[BUSINESS]
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,0898-5626,1464-5114,"[BUSINESS, DEVELOPMENT STUDIES]"
Marketing Theory,1470-5931,1741-301X,[BUSINESS]
Thunderbird International Business Review,1096-4762,1520-6874,[BUSINESS]
Journal of Entrepreneurship in Emerging Economies,2053-4604,2053-4612,[BUSINESS]
Journal of Social Entrepreneurship,1942-0676,1942-0684,[BUSINESS]
International Review of Retail Distribution and Consumer Research,0959-3969,1466-4402,[BUSINESS]
Measuring Business Excellence,1368-3047,1758-8057,[BUSINESS]
Journal of Financial Services Marketing,1363-0539,1479-1846,[BUSINESS]
International Journal of Entrepreneurship and Innovation,1465-7503,2043-6882,[BUSINESS]
Economics & Sociology,2071-789X,2306-3459,"[BUSINESS, ECONOMICS]"
International Journal of Business and Society,1511-6670,1511-6670,[BUSINESS]
Asia Pacific Journal of Innovation and Entrepreneurship,2071-1395,2398-7812,[BUSINESS]
Transnational Corporations Review,1918-6444,1925-2099,"[BUSINESS, ECONOMICS]"
Business and Human Rights Journal,2057-0198,2057-0201,[BUSINESS]
Management Theory and Studies for Rural Business and Infrastructure Development,1822-6760,2345-0355,[BUSINESS]
Custos e Agronegocio On Line,1808-2882,1808-2882,"[AGRICULTURAL ECONOMICS & POLICY, BUSINESS, ECONOMICS]"
Market-Trziste,0353-4790,1849-1383,[BUSINESS]
Review of Business,0034-6454,0034-6454,[BUSINESS]
Retail and Marketing Review,2708-3209,2708-3209,[BUSINESS]
3C Empresa,2254-3376,2254-3376,[BUSINESS]
Clio America,1909-941X,2389-7848,[BUSINESS]
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1365-8816,1362-3087,[GEOGRAPHY]
TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,0020-2754,1475-5661,[GEOGRAPHY]
GEOGRAPHICAL ANALYSIS,0016-7363,1538-4632,[GEOGRAPHY]
EUROPEAN URBAN AND REGIONAL STUDIES,0969-7764,1461-7145,"[ENVIRONMENTAL STUDIES, GEOGRAPHY, URBAN STUDIES]"
Cartography and Geographic Information Science,1523-0406,1545-0465,[GEOGRAPHY]
Geographical Research,1745-5863,1745-5871,[GEOGRAPHY]
Applied Spatial Analysis and Policy,1874-463X,1874-4621,"[ENVIRONMENTAL STUDIES, GEOGRAPHY]"
Norsk Geografisk Tidsskrift-Norwegian Journal of Geography,0029-1951,1502-5292,[GEOGRAPHY]
Raumforschung und Raumordnung-Spatial Research and Planning,0034-0111,1869-4179,[GEOGRAPHY]
Geoadria,1331-2294,1848-9710,[GEOGRAPHY]
ZFW-Advances in Economic Geography,2748-1956,2748-1964,"[ECONOMICS, GEOGRAPHY]"
Perspectiva Geografica,0123-3769,2500-8684,[GEOGRAPHY]
China Population and Development Studies,2096-448X,2523-8965,[DEMOGRAPHY]
Diaspora Studies,0973-9572,0976-3457,[DEMOGRAPHY]
Nationalities Papers-The Journal of Nationalism and Ethnicity,0090-5992,1465-3923,"[AREA STUDIES, ETHNIC STUDIES]"
Genealogy,N/A,2313-5778,[ETHNIC STUDIES]
Nationalism and Ethnic Politics,1353-7113,1557-2986,[ETHNIC STUDIES]
JOURNAL OF POLITICAL ECONOMY,0022-3808,1537-534X,[ECONOMICS]
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,0191-2615,1879-2367,"[ECONOMICS, OPERATIONS RESEARCH & MANAGEMENT SCIENCE, TRANSPORTATION]"
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,0167-2681,1879-1751,[ECONOMICS]
GAMES AND ECONOMIC BEHAVIOR,0899-8256,1090-2473,[ECONOMICS]
LABOUR ECONOMICS,0927-5371,1879-1034,[ECONOMICS]
INSURANCE MATHEMATICS & ECONOMICS,0167-6687,1873-5959,[ECONOMICS]
Economies,N/A,2227-7099,[ECONOMICS]
RESOURCE AND ENERGY ECONOMICS,0928-7655,1873-0221,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Review of Development Economics,1363-6669,1467-9361,"[DEVELOPMENT STUDIES, ECONOMICS]"
Health Economics Review,2191-1991,2191-1991,"[ECONOMICS, HEALTH POLICY & SERVICES]"
Journal of the Asia Pacific Economy,1354-7860,1469-9648,[ECONOMICS]
B E Journal of Economic Analysis & Policy,2194-6108,1935-1682,[ECONOMICS]
ECONOMIC DEVELOPMENT QUARTERLY,0891-2424,1552-3543,"[DEVELOPMENT STUDIES, ECONOMICS, URBAN STUDIES]"
JOURNAL OF TRANSPORT ECONOMICS AND POLICY,0022-5258,1754-5951,"[ECONOMICS, TRANSPORTATION]"
Equilibrium-Quarterly Journal of Economics and Economic Policy,1689-765X,2353-3293,[ECONOMICS]
Journal of Financial Economic Policy,1757-6385,1757-6393,[ECONOMICS]
STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,1081-1826,1558-3708,[ECONOMICS]
Asia-Pacific Financial Markets,1387-2834,1573-6946,[ECONOMICS]
Journal of Entrepreneurship and Public Policy,2045-2101,2045-211X,[ECONOMICS]
REVUE ECONOMIQUE,0035-2764,1950-6694,[ECONOMICS]
Journal of the Economic Science Association-JESA,2199-6784,2199-6776,[ECONOMICS]
Economic and Social Changes-Facts Trends Forecast,2307-0331,2312-9824,[ECONOMICS]
Basic Income Studies,2194-6094,1932-0183,[ECONOMICS]
Zhurnal Novaya Ekonomicheskaya Assotsiatsiya-Journal of the New Economic Association,2221-2264,2221-2264,[ECONOMICS]
Baltic Journal of Economics,1406-099X,2334-4385,[ECONOMICS]
Revista Galega de Economia,1132-2799,2255-5951,[ECONOMICS]
Ekonomicheskaya politika,1994-5124,2411-2658,[ECONOMICS]
International Journal of Computational Economics and Econometrics,1757-1170,1757-1189,[ECONOMICS]
Journal of Public Finance and Public Choice,2515-6918,2515-6926,[ECONOMICS]
WMU Journal of Maritime Affairs,1651-436X,1654-1642,[TRANSPORTATION]
European Transport-Trasporti Europei,1825-3997,1825-3997,[TRANSPORTATION]
Journal of Transportation Security,1938-7741,1938-775X,[TRANSPORTATION]
Climate Risk Management,2212-0963,2212-0963,[ENVIRONMENTAL STUDIES]
Energy Efficiency,1570-646X,1570-6478,[ENVIRONMENTAL STUDIES]
INTERNATIONAL REGIONAL SCIENCE REVIEW,0160-0176,1552-6925,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
International Journal of the Commons,1875-0281,1875-0281,[ENVIRONMENTAL STUDIES]
Maritime Studies,1872-7859,2212-9790,[ENVIRONMENTAL STUDIES]
Revista Brasileira de Ciencias Ambientais,1808-4524,2176-9478,[ENVIRONMENTAL STUDIES]
Letras Verdes,1390-6631,1390-6631,[ENVIRONMENTAL STUDIES]
LATIN AMERICAN PERSPECTIVES,0094-582X,1552-678X,[AREA STUDIES]
MIDDLE EAST JOURNAL,0026-3141,1940-3461,[AREA STUDIES]
Israel Studies Review,2159-0370,2159-0389,[AREA STUDIES]
Korea Observer,0023-3919,0023-3919,[AREA STUDIES]
Revista de Estudios Internacionales Mediterraneos,1887-4460,1887-4460,[AREA STUDIES]
International Journal of Cuban Studies,1756-3461,1756-347X,[AREA STUDIES]
Journal of Environmental Planning and Management,0964-0568,1360-0559,[DEVELOPMENT STUDIES]
HOUSING POLICY DEBATE,1051-1482,2152-050X,"[DEVELOPMENT STUDIES, URBAN STUDIES]"
Information Technology for Development,0268-1102,1554-0170,[DEVELOPMENT STUDIES]
STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,0039-3606,1936-6167,[DEVELOPMENT STUDIES]
INTERNATIONAL DEVELOPMENT PLANNING REVIEW,1474-6743,1478-3401,[DEVELOPMENT STUDIES]
Journal of Rural and Community Development,1712-8277,1712-8277,[DEVELOPMENT STUDIES]
Journal of South Asian Development,0973-1741,0973-1733,[DEVELOPMENT STUDIES]
Sociology of Development,N/A,2374-538X,[DEVELOPMENT STUDIES]
Diversity-Basel,N/A,1424-2818,[ECOLOGY]
JOURNAL OF CHEMICAL ECOLOGY,0098-0331,1573-1561,[ECOLOGY]
BASIC AND APPLIED ECOLOGY,1439-1791,1618-0089,[ECOLOGY]
ORYX,0030-6053,1365-3008,[ECOLOGY]
MAMMAL REVIEW,N/A,1365-2907,[ECOLOGY]
JOURNAL OF TROPICAL ECOLOGY,0266-4674,1469-7831,[ECOLOGY]
JOURNAL OF FRESHWATER ECOLOGY,0270-5060,2156-6941,[ECOLOGY]
REVISTA CHILENA DE HISTORIA NATURAL,0716-078X,0717-6317,[ECOLOGY]
ECOLOGICAL MANAGEMENT & RESTORATION,1442-7001,1442-8903,[ECOLOGY]
CHEMOECOLOGY,0937-7409,1423-0445,[ECOLOGY]
Bulletin of the Peabody Museum of Natural History,0079-032X,2162-4135,[ECOLOGY]
Czech Polar Reports,1805-0689,1805-0697,[ECOLOGY]
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,0194-4363,1939-0130,[URBAN STUDIES]
JOURNAL OF PLANNING EDUCATION AND RESEARCH,0739-456X,1552-6577,[URBAN STUDIES]
JOURNAL OF URBAN PLANNING AND DEVELOPMENT,0733-9488,1943-5444,[URBAN STUDIES]
City & Community,1535-6841,1540-6040,[URBAN STUDIES]
Bitacora Urbano Territorial,0124-7913,2027-145X,[URBAN STUDIES]
PUBLIC ADMINISTRATION,0033-3298,1467-9299,[PUBLIC ADMINISTRATION]
POLICY STUDIES JOURNAL,0190-292X,1541-0072,[PUBLIC ADMINISTRATION]
AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION,0313-6647,1467-8500,[PUBLIC ADMINISTRATION]
Revista de Administracao Publica,0034-7612,1982-3134,[PUBLIC ADMINISTRATION]
Public Administration and Policy-An Asia-Pacific Journal,1727-2645,2517-679X,[PUBLIC ADMINISTRATION]
Revista Iberoamericana de Estudios Municipales,0718-8838,0719-1790,[PUBLIC ADMINISTRATION]
iForest-Biogeosciences and Forestry,1971-7458,1971-7458,[FORESTRY]
Forest Systems,2171-5068,2171-9845,[FORESTRY]
Dendrobiology,1641-1307,2083-8387,[FORESTRY]
Kastamonu University Journal of Forestry Faculty,1303-2399,1309-4181,[FORESTRY]
Acta Silvae et Ligni,2335-3112,2335-3953,[FORESTRY]
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217,1872-6860,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
OPTIMIZATION METHODS & SOFTWARE,1055-6788,1029-4937,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journal of Industrial and Management Optimization,1547-5816,1553-166X,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
4OR-A Quarterly Journal of Operations Research,1619-4500,1614-2411,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
DISCOURSE & SOCIETY,0957-9265,1460-3624,[COMMUNICATION]
Convergence-The International Journal of Research into New Media Technologies,1354-8565,1748-7382,[COMMUNICATION]
Games and Culture,1555-4120,1555-4139,[COMMUNICATION]
COMMUNICATION EDUCATION,0363-4523,1479-5795,[COMMUNICATION]
WRITTEN COMMUNICATION,0741-0883,1552-8472,[COMMUNICATION]
Media International Australia,1329-878X,2200-467X,[COMMUNICATION]
Business and Professional Communication Quarterly,2329-4906,2329-4922,[COMMUNICATION]
TECHNICAL COMMUNICATION,0049-3155,N/A,[COMMUNICATION]
COMMUNICATION REVIEW,1071-4421,1547-7487,[COMMUNICATION]
Communication Research and Practice,2204-1451,2206-3374,[COMMUNICATION]
American Journalism,0882-1127,2326-2486,[COMMUNICATION]
CIC-Cuadernos de Informacion y Comunicacion,1135-7991,1988-4001,[COMMUNICATION]
Theoretical and Practical Issues of Journalism,2308-6203,2308-6211,[COMMUNICATION]
Plaridel,1656-2534,1656-2534,[COMMUNICATION]
LABOR HISTORY,0023-656X,1469-9702,[INDUSTRIAL RELATIONS & LABOR]
RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS,0034-379X,N/A,[INDUSTRIAL RELATIONS & LABOR]
Revista Pegada,1676-1871,1676-3025,[INDUSTRIAL RELATIONS & LABOR]
Health Sociology Review,1446-1242,1839-3551,[HEALTH POLICY & SERVICES]
Health Services Research and Managerial Epidemiology,2333-3928,2333-3928,[HEALTH POLICY & SERVICES]
Asian Journal of WTO & International Health Law and Policy,1819-5164,N/A,[HEALTH POLICY & SERVICES]
STATISTICAL METHODS IN MEDICAL RESEARCH,0962-2802,1477-0334,[HEALTH CARE SCIENCES & SERVICES]
HEALTH POLICY AND PLANNING,0268-1080,1460-2237,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Lancet Regional Health-Western Pacific,N/A,2666-6065,[HEALTH CARE SCIENCES & SERVICES]
TECHNOLOGY AND HEALTH CARE,0928-7329,1878-7401,[HEALTH CARE SCIENCES & SERVICES]
JMIR Human Factors,2292-9495,2292-9495,[HEALTH CARE SCIENCES & SERVICES]
Indian Journal of Palliative Care,0973-1075,1998-3735,[HEALTH CARE SCIENCES & SERVICES]
ClinicoEconomics and Outcomes Research,1178-6981,1178-6981,[HEALTH CARE SCIENCES & SERVICES]
IISE Transactions on Healthcare Systems Engineering,2472-5579,2472-5587,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
Chronic Wound Care Management and Research,2324-481X,2324-481X,[HEALTH CARE SCIENCES & SERVICES]
Zeitschrift fur Palliativmedizin,1615-2921,1615-293X,[HEALTH CARE SCIENCES & SERVICES]
Review of Finance,1572-3097,1573-692X,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of Financial Stability,1572-3089,1878-0962,"['BUSINESS, FINANCE', ECONOMICS]"
British Accounting Review,0890-8389,1095-8347,"['BUSINESS, FINANCE']"
JOURNAL OF FINANCIAL INTERMEDIATION,1042-9573,1096-0473,"['BUSINESS, FINANCE']"
JOURNAL OF PORTFOLIO MANAGEMENT,0095-4918,2168-8656,"['BUSINESS, FINANCE']"
PUBLIC MONEY & MANAGEMENT,0954-0962,1467-9302,"['BUSINESS, FINANCE', PUBLIC ADMINISTRATION]"
NATIONAL TAX JOURNAL,0028-0283,1944-7477,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of International Financial Management & Accounting,0954-1314,1467-646X,"['BUSINESS, FINANCE']"
Review of Corporate Finance Studies,2046-9128,2046-9136,"['BUSINESS, FINANCE']"
GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,1018-5895,1468-0440,"['BUSINESS, FINANCE']"
Accounting History,1032-3732,1749-3374,"['BUSINESS, FINANCE']"
Banks and Bank Systems,1816-7403,1991-7074,"['BUSINESS, FINANCE', ECONOMICS]"
Mathematics and Financial Economics,1862-9679,1862-9660,"['BUSINESS, FINANCE', ECONOMICS]"
Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,0210-2412,2332-0753,"['BUSINESS, FINANCE']"
Public Finance Quarterly-Hungary,0031-496X,2064-8278,"['BUSINESS, FINANCE']"
African Journal of Accounting Auditing and Finance,2046-8083,2046-8091,"['BUSINESS, FINANCE']"
Academy Review,2074-5354,2522-9745,"['BUSINESS, FINANCE', ECONOMICS, MANAGEMENT]"
Revista Contabilidade e Controladoria-RC C,1984-6266,1984-6266,"['BUSINESS, FINANCE']"
MANAGEMENT SCIENCE,0025-1909,1526-5501,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,0305-0483,1873-5274,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,0742-1222,1557-928X,[MANAGEMENT]
M&SOM-Manufacturing & Service Operations Management,1523-4614,1526-5498,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960-085X,1476-9344,[MANAGEMENT]
International Journal of Management Education,1472-8117,2352-3565,"[BUSINESS, MANAGEMENT]"
Social Responsibility Journal,1747-1117,1758-857X,[MANAGEMENT]
Industry and Innovation,1366-2716,1469-8390,"[ECONOMICS, MANAGEMENT]"
Journal of Management and Governance,1385-3457,1572-963X,[MANAGEMENT]
Information and Organization,1471-7727,1873-7919,[MANAGEMENT]
MIS Quarterly Executive,1540-1960,1540-1979,[MANAGEMENT]
Asia Pacific Management Review,1029-3132,1029-3132,[MANAGEMENT]
SA Journal of Human Resource Management,1683-7584,2071-078X,[MANAGEMENT]
Journal of Management Control,2191-4761,2191-477X,[MANAGEMENT]
Science Technology and Society,0971-7218,0973-0796,[MANAGEMENT]
Decision Analysis,1545-8490,1545-8504,[MANAGEMENT]
Maritime Business Review,2397-3757,2397-3765,"[BUSINESS, MANAGEMENT, TRANSPORTATION]"
Organization Technology and Management in Construction,1847-5450,1847-6228,[MANAGEMENT]
Journal of Research Administration,1539-1590,1539-1590,[MANAGEMENT]
Revista Gestao & Tecnologia-Journal of Management and Technology,1677-9479,2177-6652,[MANAGEMENT]
NMIMS Management Review,0971-1023,0971-1023,[MANAGEMENT]
JOURNAL OF BUSINESS ETHICS,0167-4544,1573-0697,[BUSINESS]
Business & Society,0007-6503,1552-4205,[BUSINESS]
Journal of Research in Interactive Marketing,2040-7122,2040-7130,[BUSINESS]
JOURNAL OF INTERNATIONAL MARKETING,1069-031X,1547-7215,[BUSINESS]
Journal of Theoretical and Applied Electronic Commerce Research,0718-1876,0718-1876,[BUSINESS]
BUSINESS HISTORY,0007-6791,1743-7938,[BUSINESS]
International Journal of Business Communication,2329-4884,2329-4892,"[BUSINESS, COMMUNICATION]"
JOURNAL OF FOOD PRODUCTS MARKETING,1045-4446,1540-4102,[BUSINESS]
Journal of African Business,1522-8916,1522-9076,[BUSINESS]
BUSINESS HISTORY REVIEW,0007-6805,2044-768X,[BUSINESS]
Entrepreneurship Research Journal,2194-6175,2157-5665,[BUSINESS]
Journal of International Food & Agribusiness Marketing,0897-4438,1528-6983,[BUSINESS]
Small Enterprise Research,1321-5906,1175-0979,[BUSINESS]
Journal of Historical Research in Marketing,1755-750X,1755-7518,[BUSINESS]
AD-minister,1692-0279,2256-4322,[BUSINESS]
African Journal of Business Ethics,1817-7417,0976-3600,[BUSINESS]
GEOJOURNAL,0343-2521,1572-9893,[GEOGRAPHY]
Geography Compass,1749-8198,1749-8198,[GEOGRAPHY]
Transactions in GIS,1361-1682,1467-9671,[GEOGRAPHY]
Polar Journal,2154-896X,2154-8978,"[AREA STUDIES, ENVIRONMENTAL STUDIES, GEOGRAPHY]"
Imago Mundi-The International Journal for the History of Cartography,0308-5694,1479-7801,[GEOGRAPHY]
Present Environment and Sustainable Development,1843-5971,2284-7820,[GEOGRAPHY]
Espaces-Populations-Societes,0755-7809,2104-3752,[GEOGRAPHY]
Atelie Geografico,1982-1956,1982-1956,[GEOGRAPHY]
POPULATION AND ENVIRONMENT,0199-0039,1573-7810,"[DEMOGRAPHY, ENVIRONMENTAL STUDIES]"
GENUS,N/A,2035-5556,[DEMOGRAPHY]
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,0965-8564,1879-2375,"[ECONOMICS, TRANSPORTATION]"
JOURNAL OF HUMAN RESOURCES,0022-166X,1548-8004,"[ECONOMICS, INDUSTRIAL RELATIONS & LABOR]"
APPLIED ECONOMICS LETTERS,1350-4851,1466-4291,[ECONOMICS]
American Economic Journal-Macroeconomics,1945-7707,1945-7715,[ECONOMICS]
CAMBRIDGE JOURNAL OF ECONOMICS,0309-166X,1464-3545,[ECONOMICS]
Review of Environmental Economics and Policy,1750-6816,1750-6824,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Economics Bulletin,1545-2921,1545-2921,[ECONOMICS]
INFORMATION ECONOMICS AND POLICY,0167-6245,1873-5975,[ECONOMICS]
CONTEMPORARY ECONOMIC POLICY,1074-3529,1465-7287,"[ECONOMICS, PUBLIC ADMINISTRATION]"
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,0008-3976,1744-7976,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,0889-1583,1095-8681,[ECONOMICS]
Journal of Agricultural and Applied Economics,1074-0708,2056-7405,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
Economic and Labour Relations Review,1035-3046,1838-2673,"[ECONOMICS, INDUSTRIAL RELATIONS & LABOR]"
JOURNAL OF WORLD TRADE,1011-6702,2210-2795,[ECONOMICS]
Comparative Economic Studies,0888-7233,1478-3320,[ECONOMICS]
Review of Keynesian Economics,2049-5323,2049-5331,[ECONOMICS]
CHINESE ECONOMY,1097-1475,1558-0954,[ECONOMICS]
CESifo Economic Studies,1610-241X,1612-7501,[ECONOMICS]
