baseline_rank,source_idx,source_name,F,a_p,v_0110,v_1000,v_1111,r_1000,r_1111
284,4210175456,The ATA Journal of Legal Tax Research,,15.000000,1.096796,2.875146,2.111555,2.621406,1.925204
285,52333995,Journal of Economic Methodology,,130.000000,1.095598,1.533646,1.090425,1.399825,0.995278
286,128621090,The Journal of Economic Education,,146.000000,1.094316,0.697965,0.865316,0.637809,0.790737
287,3416249,Review of Industrial Organization,,212.000000,1.093101,1.167419,0.924229,1.067988,0.845512
288,9351053,Financial Review,,169.000000,1.091013,1.428230,1.112256,1.309086,1.019470
289,44585919,Journal of Economic Dynamics and Control,E,583.000000,1.082597,1.057250,0.883221,0.976587,0.815835
290,14291815,Journal of Marketing Management,,372.000000,1.081600,1.018393,0.951529,0.941561,0.879741
291,2912066455,Journal of Financial Counseling and Planning,,129.000000,1.080454,1.090678,1.008420,1.009462,0.933330
292,4210183118,Indian Journal of Commerce & Management Studies,,14.000000,1.076225,2.456648,2.004404,2.282653,1.862440
293,113237667,Business Horizons,,231.000000,1.070732,1.084982,0.978860,1.013309,0.914197
294,35298862,Journal of Macromarketing,,241.000000,1.070038,1.088992,0.973593,1.017714,0.909868
295,162525099,Financial Analysts Journal,,48.000000,1.067451,1.354462,1.180603,1.268875,1.106002
296,144747835,Australian Accounting Review,,92.000000,1.064367,1.162419,1.080321,1.092123,1.014990
297,75627377,SIAM Journal on Financial Mathematics,,77.000000,1.061715,0.871067,0.908947,0.820434,0.856112
298,191693275,Human Resource Development Quarterly,,113.000000,1.061280,1.169940,1.047983,1.102386,0.987471
299,16069442,Journal of Management Accounting Research,,133.000000,1.059941,1.084038,0.944631,1.022735,0.891211
300,31181851,Accounting in Europe,B,85.000000,1.053682,1.219850,1.083795,1.157702,1.028578
301,87209429,Journal of Benefit-Cost Analysis,,105.000000,1.051474,0.970869,0.949308,0.923341,0.902835
302,148936004,The International Journal of Digital Accounting Research,,15.000000,1.048275,2.320178,1.901676,2.213330,1.814100
303,191556934,Journal of Intellectual Capital,,247.000000,1.040892,1.150137,1.065047,1.104952,1.023206
304,45224653,Journal of Research in Interactive Marketing,,221.000000,1.032333,1.039800,0.977089,1.007233,0.946487
305,2764953695,International Review of Management and Business Research,,14.000000,1.031366,2.424767,1.967520,2.351025,1.907684
306,183232449,International Journal of Industrial Organization,,247.000000,1.026929,1.415523,0.951683,1.378403,0.926727
307,70698675,Technovation,,618.000000,1.024243,0.786272,0.872743,0.767661,0.852086
308,2737892326,Inquietud Empresarial,,16.000000,1.024096,2.789426,2.037370,2.723795,1.989434
309,2912564958,Journal of Public Budgeting Accounting & Financial Management,,205.000000,1.023940,1.048562,0.965917,1.024046,0.943334
310,108218269,Regulation & Governance,,307.000000,1.022283,0.760152,0.824964,0.743582,0.806982
311,2738087221,Triple Helix Journal,,54.000000,1.019864,1.539771,1.285389,1.509780,1.260352
312,115237062,Journal of Economics & Management Strategy,,219.000000,1.019790,1.080860,0.872182,1.059885,0.855257
313,86125002,Environmental and Resource Economics,,485.000000,1.019325,0.783304,0.838410,0.768453,0.822515
314,187200255,Competition & Change,,154.000000,1.013535,0.947225,0.914245,0.934575,0.902036
315,77308338,Corporate Governance An International Review,B,208.000000,1.012396,0.992175,0.924831,0.980026,0.913507
316,49331332,Service Industries Journal,,204.000000,1.008347,1.065690,0.994635,1.056868,0.986402
317,207154782,Journal of Financial Econometrics,E,156.000000,1.008220,1.223976,0.929147,1.213997,0.921572
318,160393188,Journal of the Japanese and International Economies,,98.000000,1.007912,1.139597,1.030320,1.130651,1.022232
319,187270080,European Journal of Work and Organizational Psychology,,299.000000,1.003049,1.117825,0.920668,1.114427,0.917870
320,53993439,American Law and Economics Review,,44.000000,1.000817,1.453235,1.162870,1.452049,1.161921
321,4210232136,Journal of Current Issues & Research in Advertising,,118.000000,1.000079,0.875555,0.885433,0.875486,0.885364
322,10747938,Journal of International Money and Finance,E,622.000000,0.999508,0.750150,0.801002,0.750519,0.801397
323,2764393121,The American Economist,,82.000000,0.997274,0.948576,0.934170,0.951170,0.936724
324,70175541,Management and Organization Review,,244.000000,0.991070,0.817813,0.815264,0.825182,0.822610
325,127646213,Journal of Financial Markets,,187.000000,0.991053,1.107281,0.924095,1.117277,0.932438
326,6243863,Journal of Accounting Education,,99.000000,0.990037,1.303738,1.044670,1.316858,1.055183
327,184446198,Journal of Public Economic Theory,,225.000000,0.986728,1.143091,0.914478,1.158467,0.926779
328,192266589,Group & Organization Management,,276.000000,0.986442,0.977205,0.854425,0.990636,0.866168
329,6014304,Journal of the American Taxation Association,,71.000000,0.983034,1.255089,1.046477,1.276750,1.064537
330,57862637,Journal of Housing Economics,,146.000000,0.981858,0.945075,0.866907,0.962537,0.882926
331,4210190158,Journal of Economic Policy Researches / İktisat Politikası Araştırmaları Dergisi,E,16.000000,0.980706,2.211130,1.805594,2.254631,1.841117
332,182227784,Social Marketing Quarterly,,76.000000,0.979190,1.563117,1.143914,1.596337,1.168225
333,2898431940,The Journal of Finance and Data Science,,50.000000,0.977554,1.101490,1.045742,1.126782,1.069754
334,206615888,Economic Inquiry,,336.000000,0.976314,0.930439,0.808716,0.953012,0.828336
335,160194987,Journal of Industry Competition and Trade,,90.000000,0.975458,1.317098,1.026634,1.350235,1.052463
336,178634671,Financial Accountability and Management,,155.000000,0.973867,0.976353,0.909786,1.002552,0.934199
337,92565720,Oxford Bulletin of Economics and Statistics,E,240.000000,0.971154,0.807455,0.802796,0.831439,0.826642
338,169699294,Accounting Education,,171.000000,0.970394,1.245505,0.994345,1.283505,1.024682
339,968139600,Journal of Personal Selling and Sales Management,B,122.000000,0.966074,1.049108,0.952380,1.085949,0.985825
340,206364101,Economic Notes,,60.000000,0.964673,1.212096,1.119076,1.256485,1.160058
341,4210209722,Asian Economic Papers,,83.000000,0.964604,1.076599,1.001873,1.116105,1.038637
342,165253824,Scandinavian Journal of Economics,E,130.000000,0.962327,1.033827,0.863133,1.074299,0.896923
343,39811122,Financial Markets Institutions and Instruments,,47.000000,0.961013,1.265538,1.092579,1.316879,1.136903
344,4210190151,Omega,,641.000000,0.959541,0.731908,0.819080,0.762768,0.853617
345,100134864,European Journal of Political Economy,,438.000000,0.958192,0.909940,0.815142,0.949642,0.850708
346,50366009,Urban Studies,,861.000000,0.958005,0.576378,0.717697,0.601643,0.749158
347,4210216314,Journal of Strategic Contracting and Negotiation,,26.000000,0.956109,1.698931,1.353453,1.776921,1.415584
348,67103694,Cambridge Journal of Economics,,202.000000,0.955850,1.115909,0.915762,1.167452,0.958059
349,50631486,Journal of Knowledge Management,,619.000000,0.955657,0.888143,0.885054,0.929353,0.926121
350,92422469,Journal of Multinational Financial Management,,111.000000,0.952531,0.891635,0.947617,0.936069,0.994841
351,4210217359,Gurukul Business Review,,15.000000,0.951903,2.260224,1.828200,2.374427,1.920575
352,182651638,Economic Systems Research,,117.000000,0.950039,1.100590,0.980536,1.158469,1.032101
353,116843975,Journal of Emerging Technologies in Accounting,,128.000000,0.947477,1.176326,0.957420,1.241536,1.010494
354,4162551,International Journal of Gender and Entrepreneurship,,98.000000,0.946125,1.034320,0.960101,1.093217,1.014771
355,2764477379,Islamic Economic Studies,,24.000000,0.945778,1.829803,1.526921,1.934708,1.614460
356,43637407,R and D Management,,277.000000,0.943217,0.797525,0.823627,0.845537,0.873211
357,175759345,Economic Development Quarterly,,114.000000,0.941301,0.748594,0.794240,0.795275,0.843768
358,4210174932,Statistika Statistics and Economy Journal,,16.000000,0.940429,2.246278,1.792019,2.388568,1.905534
359,2764684190,IZA Journal of Labor Policy,,35.000000,0.939488,1.345108,1.176288,1.431746,1.252053
360,23257470,Journal of Property Research,E,79.000000,0.938162,1.124789,0.991957,1.198928,1.057340
361,180851279,Journal of Services Marketing,,350.000000,0.936899,0.970745,0.871976,1.036126,0.930704
362,4210173397,Journal of Public Finance and Public Choice,,53.000000,0.932325,1.165760,1.018621,1.250380,1.092560
363,145200904,Health Economics,,694.000000,0.927529,0.773422,0.738669,0.833852,0.796383
364,175672440,Regional Studies,,744.000000,0.925542,0.676714,0.751468,0.731154,0.811922
365,202178085,The Journal of Real Estate Finance and Economics,,244.000000,0.924673,0.822438,0.800627,0.889437,0.865849
366,22247924,Entrepreneurship and Regional Development,,244.000000,0.923717,0.851414,0.831845,0.921726,0.900541
367,100711025,Review of Derivatives Research,E,36.000000,0.923183,1.425878,1.189518,1.544524,1.288497
368,47864991,Applied Psychology,,317.000000,0.922813,0.890554,0.807001,0.965043,0.874501
369,41302103,International Journal of Physical Distribution & Logistics Management,B,203.000000,0.922728,0.766708,0.825575,0.830914,0.894711
370,6772833,Review of Network Economics,,31.000000,0.921780,1.428892,1.220522,1.550145,1.324093
371,65528657,Journal of Regional Science,,221.000000,0.920358,0.722878,0.767962,0.785431,0.834416
372,105567970,European Management Journal,B,398.000000,0.918901,0.892401,0.848446,0.971161,0.923328
373,83262020,Journal of International Financial Management and Accounting,,91.000000,0.915969,0.897042,0.934243,0.979336,1.019951
374,197396629,The British Accounting Review,B,277.000000,0.914307,0.791464,0.807316,0.865643,0.882981
375,4210224898,Journal of Service Theory and Practice,,159.000000,0.914072,0.977777,0.892229,1.069693,0.976104
376,7241030,Cliometrica,,91.000000,0.913202,1.541577,1.025222,1.688100,1.122666
377,4210169096,Accounting Economics and Law - A Convivium,,101.000000,0.909801,0.856489,0.837559,0.941402,0.920595
378,129650269,Open Economies Review,E,190.000000,0.909111,0.774382,0.773760,0.851801,0.851117
379,76239586,Qualitative Research in Accounting & Management,,130.000000,0.908273,0.881429,0.853377,0.970445,0.939561
380,59475652,Health Care Management Science,,165.000000,0.901433,0.708865,0.762393,0.786375,0.845757
381,4210225395,St Petersburg University Journal of Economic Studies,,19.000000,0.900179,2.392275,1.728425,2.657554,1.920090
382,2764400943,Journal of Global Fashion Marketing,,123.000000,0.899430,0.906021,0.873931,1.007327,0.971649
383,61413993,Journal of Business and Psychology,,316.000000,0.898660,1.117892,0.831932,1.243954,0.925747
384,36547454,International Entrepreneurship and Management Journal,,392.000000,0.898419,0.869493,0.833166,0.967804,0.927369
385,151404345,Journal of Post Keynesian Economics,,54.000000,0.898153,1.322388,1.105285,1.472342,1.230620
386,2898493639,Journal of Co-operative Organization and Management,,65.000000,0.896524,1.109100,1.012647,1.237111,1.129525
387,79175213,Journal of Financial Services Research,,94.000000,0.895483,0.991361,0.912320,1.107069,1.018801
388,127111275,Accounting and the Public Interest,,25.000000,0.894261,1.746218,1.407275,1.952693,1.573673
389,120991925,Telecommunications Policy,,407.000000,0.888285,0.721464,0.763995,0.812199,0.860078
390,121852782,Journal of Global Marketing,,106.000000,0.888184,0.847550,0.853387,0.954251,0.960823
391,41393910,Behavioral Research in Accounting,,59.000000,0.886762,1.044497,0.932834,1.177877,1.051955
392,4210195359,Economía,,17.000000,0.886252,2.037475,1.654803,2.298979,1.867192
393,43415676,Journal of Strategic Marketing,,261.000000,0.884840,0.905139,0.844523,1.022941,0.954436
394,2764810659,Journal of Small Business & Entrepreneurship,,142.000000,0.884094,1.004848,0.916020,1.136584,1.036111
395,58171247,Journal of Product & Brand Management,,339.000000,0.881841,0.869576,0.828982,0.986092,0.940058
396,49327401,Journal of Sports Economics,,180.000000,0.879935,0.794436,0.761097,0.902835,0.864947
397,108845946,Economica,E,189.000000,0.879472,1.029891,0.796467,1.171033,0.905620
398,74096415,Journal of Economic Policy Reform,E,90.000000,0.878133,0.948421,0.888917,1.080042,1.012280
399,197112600,Emerging Markets Review,,343.000000,0.877910,0.683499,0.763794,0.778553,0.870014
400,14568501,Review of Social Economy,,97.000000,0.877417,0.929926,0.845691,1.059845,0.963842
401,27632631,Journal of Brand Management,,162.000000,0.876146,0.958240,0.881441,1.093700,1.006044
402,52721111,Journal of Real Estate Research,,112.000000,0.876080,0.810637,0.809026,0.925300,0.923461
403,101788309,Papers of the Regional Science Association,,241.000000,0.876063,0.676119,0.731565,0.771769,0.835060
404,131296671,Accounting Forum,B,134.000000,0.875228,0.908184,0.855345,1.037655,0.977283
405,128478731,Management International Review,,144.000000,0.874444,0.980097,0.870361,1.120823,0.995332
406,2738214312,The South East Asian Journal of Management,,17.000000,0.873866,2.167998,1.695472,2.480926,1.940196
407,140551370,Cornell Hospitality Quarterly,,171.000000,0.873335,0.776358,0.780656,0.888958,0.893880
408,5406982871,Financial Planning Research Journal,,17.000000,0.870668,2.005220,1.632983,2.303081,1.875551
409,185905316,The Journal of Technology Transfer,,380.000000,0.867816,0.684049,0.737920,0.788242,0.850318
410,2765001115,The Economics of Peace and Security Journal,,20.000000,0.865851,1.816801,1.497222,2.098283,1.729191
411,173627905,Journal of Agricultural & Food Industrial Organization,,58.000000,0.865619,1.172907,1.039205,1.354993,1.200534
412,132285554,Creativity and Innovation Management,,244.000000,0.864715,0.755133,0.762135,0.873274,0.881372
413,64831726,Journal of Leadership & Organizational Studies,,120.000000,0.863778,0.978226,0.855462,1.132497,0.990372
414,2898409089,BRQ Business Research Quarterly,B,146.000000,0.863216,0.924564,0.863637,1.071069,1.000488
415,83383069,International Journal of Quality and Innovation,B,17.000000,0.862780,2.007426,1.631385,2.326696,1.890847
416,185930956,Contemporary Economic Policy,,169.000000,0.862208,0.736034,0.721616,0.853661,0.836940
417,4210235882,ZFW – Advances in Economic Geography,,48.000000,0.862185,1.141362,1.011358,1.323803,1.173018
418,2737541009,International journal of information systems and project management,,133.000000,0.858043,1.522659,1.002657,1.774572,1.168540
419,16296580,Southern Economic Journal,E,240.000000,0.855869,0.696082,0.696751,0.813304,0.814086
420,4210186250,Journal of Competitiveness,,90.000000,0.854381,1.062761,1.004098,1.243897,1.175235
421,86375777,International Journal of Accounting and Information Management,,174.000000,0.853893,0.851552,0.863134,0.997259,1.010823
422,82262387,Journal of Information Systems,,113.000000,0.853884,0.879271,0.822903,1.029731,0.963718
423,174413665,Review of Income and Wealth,,201.000000,0.852216,0.813868,0.739880,0.955002,0.868184
424,3022066471,German Journal of Human Resource Management Zeitschrift für Personalforschung,,83.000000,0.850068,1.048217,0.913681,1.233098,1.074832
425,175138789,Journal of International Entrepreneurship,B,101.000000,0.847088,1.007195,0.874024,1.189008,1.031798
426,76440981,Canadian Journal of Economics/Revue canadienne d économique,E,242.000000,0.847078,0.950704,0.766515,1.122333,0.904893
427,132432621,Journal of International Accounting Auditing and Taxation,,165.000000,0.845245,0.827915,0.830688,0.979496,0.982777
428,2735890421,The World Bank Economic Review,,159.000000,0.843836,0.938986,0.756971,1.112760,0.897060
429,196716848,Journal of Human Capital,,78.000000,0.843734,1.065890,0.883424,1.263301,1.047041
430,4210191533,Customer Needs and Solutions,,41.000000,0.842514,1.531599,1.118173,1.817892,1.327186
431,12818680,Corporate Social Responsibility and Environmental Management,B,1058.000000,0.841711,0.629196,0.730166,0.747520,0.867478
432,107181468,Journal of Accounting Auditing & Finance,,186.000000,0.840874,0.827348,0.754740,0.983914,0.897566
433,182689569,Quantitative Finance,E,473.000000,0.840183,0.654244,0.675405,0.778692,0.803878
434,170231156,International Journal of Entrepreneurial Behaviour & Research,B,501.000000,0.838074,0.710094,0.740816,0.847293,0.883951
435,176795851,Journal of Macroeconomics,E,210.000000,0.837643,0.762008,0.730579,0.909706,0.872185
436,136211407,Ecological Economics,,1205.000000,0.837217,0.572921,0.685195,0.684316,0.818419
437,176497116,Management Communication Quarterly,,156.000000,0.836123,0.752305,0.716022,0.899755,0.856360
438,145572626,International Review of Financial Analysis,,1810.000000,0.833684,0.552313,0.687749,0.662497,0.824952
439,4210190792,South Asian Journal of Macroeconomics and Public Finance,E,25.000000,0.833451,1.713122,1.392961,2.055455,1.671317
440,145875555,Journal of Empirical Finance,,337.000000,0.832955,0.768723,0.723571,0.922887,0.868680
441,180126918,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,20.000000,0.832821,2.020461,1.555345,2.426045,1.867562
442,154432073,Foundations and Trends® in Technology Information and Operations Management,,43.000000,0.832183,1.098173,0.966673,1.319629,1.161610
443,141184754,Economic Modelling,E,1346.000000,0.831965,0.610016,0.700368,0.733223,0.841825
444,32361082,European Review of Agricultural Economics,,186.000000,0.830609,0.721892,0.752335,0.869111,0.905763
445,36209479,Industry and Innovation,,233.000000,0.830168,0.712573,0.734935,0.858347,0.885284
446,2764805720,Eurasian Economic Review,,128.000000,0.829899,0.820835,0.821542,0.989078,0.989930
447,67177122,Marketing Education Review,,120.000000,0.829441,0.918031,0.851798,1.106807,1.026955
448,136661304,Managerial Auditing Journal,B,182.000000,0.828572,0.827267,0.809602,0.998426,0.977105
449,40814766,Journal of Marketing for HIGHER EDUCATION,,134.000000,0.827240,0.966631,0.875866,1.168502,1.058782
450,81022070,Journal of Policy Modeling,E,291.000000,0.825375,0.790686,0.780155,0.957972,0.945213
451,137519996,Electronic Markets,,315.000000,0.823348,0.752092,0.736220,0.913456,0.894179
452,2764767644,The Journal of Retirement,,62.000000,0.822181,1.265621,0.965011,1.539347,1.173721
453,203071086,Review of Managerial Science,B,428.000000,0.819639,0.677900,0.726014,0.827072,0.885773
454,135086714,Journal of Information Technology,,137.000000,0.819069,0.816381,0.755734,0.996717,0.922674
455,82743730,Journal of International Financial Markets Institutions and Money,,571.000000,0.817680,0.542876,0.675085,0.663922,0.825610
456,2764897135,"IIUM Journal Of Economics and Management/International Journal of Economics, Management and Accounting",,20.000000,0.814713,1.780094,1.465229,2.184934,1.798461
457,34280410,Journal of Productivity Analysis,,160.000000,0.814702,0.760615,0.743852,0.933612,0.913036
458,148368070,International Journal of Selection and Assessment,,198.000000,0.810134,0.785378,0.706138,0.969442,0.871632
459,152372256,International Journal of Auditing,B,150.000000,0.806117,0.848604,0.793379,1.052706,0.984199
460,4210202311,The International journal of accounting/International journal of accounting,,109.000000,0.805942,0.839862,0.819662,1.042088,1.017024
461,2764807039,Service Science,,83.000000,0.803587,0.792999,0.760306,0.986824,0.946141
462,4210184829,Central Bank Review,E,54.000000,0.802078,1.048381,0.996889,1.307080,1.242882
463,87328381,Journal of Occupational and Organizational Psychology,,234.000000,0.800897,0.858528,0.730733,1.071957,0.912393
464,136999626,Journal of Property Investment and Finance,,146.000000,0.799630,0.906437,0.784480,1.133571,0.981054
465,61992289,Journal of Advertising Research,,128.000000,0.799114,0.949877,0.804943,1.188662,1.007294
466,4210220799,Business and Management Horizons,,18.000000,0.798339,1.908756,1.535203,2.390910,1.922997
467,2764922153,Central European Journal of Economic Modelling and Econometrics,E,18.000000,0.793782,1.883840,1.523945,2.373245,1.919852
468,2736629167,Journal of Economic Structures,,122.000000,0.791526,0.975678,0.897867,1.232654,1.134349
469,2898275063,European Research on Management and Business Economics,,116.000000,0.789769,1.068919,0.900194,1.353458,1.139819
470,97048498,The International Journal of Logistics Management,B,334.000000,0.789449,0.673910,0.715320,0.853646,0.906101
471,172313144,European Management Review,B,284.000000,0.788953,0.709657,0.696468,0.899491,0.882775
472,124412575,Mathematics and Financial Economics,,96.000000,0.788875,0.874364,0.797731,1.108369,1.011226
473,206312523,Journal of Cultural Economy,,305.000000,0.788455,0.648911,0.641097,0.823016,0.813106
474,4210210387,Cross Cultural & Strategic Management,,155.000000,0.788114,0.842936,0.775080,1.069561,0.983461
475,2764806082,China Journal of Accounting Research,,127.000000,0.787525,0.781363,0.771217,0.992176,0.979292
476,4394735491,"Intelligent systems in accounting, finance and management/Intelligent systems in accounting, finance & management",,61.000000,0.786979,1.094631,0.932598,1.390928,1.185035
477,35673206,International Marketing Review,,247.000000,0.786445,0.781158,0.749246,0.993277,0.952699
478,191114782,Journal of Fashion Marketing and Management,,223.000000,0.785923,0.736615,0.727337,0.937261,0.925457
479,94775995,European Business Review,B,214.000000,0.785264,0.829842,0.782935,1.056767,0.997034
480,3835251,Human Performance,,74.000000,0.784928,1.031958,0.880441,1.314717,1.121684
481,4210228534,Journal of Organisational Studies and Innovation,,20.000000,0.784334,1.890768,1.484315,2.410668,1.892454
482,134988049,Econometric Reviews,,183.000000,0.783538,0.909198,0.691676,1.160375,0.882761
483,4210176106,Journal of Management Control,B,84.000000,0.781423,0.875919,0.835713,1.120928,1.069476
484,2765045378,Pacific Rim Property Research Journal,,25.000000,0.781290,1.801761,1.350118,2.306135,1.728062
485,2764583656,Journal of Social Marketing,,118.000000,0.780858,0.960648,0.823257,1.230247,1.054299
486,7424199,Public Choice,,408.000000,0.779431,0.694862,0.648892,0.891499,0.832520
487,73680622,Journal of Pensions Economics and Finance,,119.000000,0.778969,0.800866,0.717128,1.028110,0.920612
488,4210202938,Modern Supply Chain Research and Applications,,54.000000,0.777052,1.143658,1.011740,1.471790,1.302023
489,2764449665,Journal of Wine Economics,,141.000000,0.776460,0.684890,0.708370,0.882068,0.912308
490,45372229,World Economy,,607.000000,0.775631,0.687925,0.668102,0.886923,0.861365
491,7345157,Eastern Economic Journal,E,75.000000,0.774105,0.753314,0.750581,0.973142,0.969612
492,161221442,Abacus,,143.000000,0.771653,0.755462,0.724078,0.979017,0.938346
493,141478581,Journal of Enterprise Information Management,,340.000000,0.771543,0.730297,0.747874,0.946540,0.969322
494,2737950648,Aestimum,,26.000000,0.769632,1.631285,1.303500,2.119565,1.693668
495,142725411,Journal of Contemporary Accounting & Economics,,128.000000,0.767919,0.735977,0.756934,0.958405,0.985695
496,131852005,European Financial Management,,248.000000,0.767695,0.586021,0.640462,0.763352,0.834266
497,19645890,China Economic Review,,629.000000,0.766054,0.577233,0.633527,0.753515,0.827000
498,144472306,Journal of Manufacturing Technology Management,,317.000000,0.761335,0.711533,0.728677,0.934586,0.957105
499,4306508649,Journal of Industrial and Business Economics,,160.000000,0.760051,0.846534,0.760758,1.113786,1.000930
500,187788904,Journal of Hospitality and Tourism Management,,783.000000,0.758938,0.743345,0.713444,0.979454,0.940056
501,4210203263,Asian Journal of Accounting and Governance,,23.000000,0.757462,1.801020,1.392245,2.377702,1.838040
502,4210206470,Journal of Sustainable Finance & Investment,,219.000000,0.757422,0.689810,0.720028,0.910734,0.950630
503,165058066,Resource and Energy Economics,,156.000000,0.756139,0.737671,0.717767,0.975576,0.949252
504,4210208451,Quarterly Journal of Finance,,91.000000,0.754737,1.050782,0.811670,1.392249,1.075434
505,4210183343,Journal of Creating Value,,55.000000,0.754665,1.056732,0.923328,1.400267,1.223495
506,2764933238,New England journal of entrepreneurship,B,32.000000,0.753837,1.354950,1.135161,1.797405,1.505844
507,2898307581,Journal of Innovation & Knowledge,,399.000000,0.753136,0.675575,0.708347,0.897016,0.940530
508,2764690196,Journal of Choice Modelling,,146.000000,0.751948,0.804432,0.736814,1.069797,0.979874
509,204467137,SERIEs,E,80.000000,0.749930,0.946563,0.787534,1.262201,1.050143
510,201731998,Local Economy The Journal of the Local Economy Policy Unit,,173.000000,0.749813,0.513831,0.617613,0.685279,0.823689
511,168697966,Management & Organizational History,,67.000000,0.749102,0.963912,0.817126,1.286756,1.090807
512,182336501,Career Development International,,182.000000,0.748148,0.779480,0.711323,1.041880,0.950778
513,2736647864,Retos,,23.000000,0.745433,1.756008,1.368234,2.355687,1.835487
514,42468459,The Journal of Marketing Theory and Practice,,194.000000,0.743696,0.756220,0.723309,1.016840,0.972587
515,2764892107,Multinational Business Review,,121.000000,0.738951,0.893160,0.764169,1.208687,1.034127
516,45303301,Critical Perspectives on International Business,,117.000000,0.738294,0.798933,0.722172,1.082133,0.978163
517,42192170,International Tax and Public Finance,,241.000000,0.736185,0.825634,0.682169,1.121502,0.926627
518,82316188,European Journal of Finance,,414.000000,0.735579,0.549361,0.615810,0.746842,0.837177
519,65353606,International Journal of Retail & Distribution Management,,362.000000,0.733666,0.746462,0.699579,1.017440,0.953538
520,4210176701,Logforum,,35.000000,0.732952,1.324807,1.112778,1.807494,1.518214
521,4210222895,Meditari Accountancy Research,B,360.000000,0.732376,0.629295,0.672722,0.859251,0.918547
522,2764980737,The Philippine Review of Economics,,25.000000,0.731579,2.378984,1.478715,3.251849,2.021266
523,113426170,Compensation & Benefits Review,,54.000000,0.731554,1.052091,0.891233,1.438157,1.218273
524,88577320,Finance research letters,,3726.000000,0.730608,0.476887,0.599967,0.652726,0.821189
525,128223704,Economics and Philosophy,,141.000000,0.727717,1.008318,0.707897,1.385591,0.972764
526,194514787,Applied Health Economics and Health Policy,,294.000000,0.727412,0.551208,0.683162,0.757765,0.939167
527,146522396,Annals of Finance,E,82.000000,0.726218,0.841302,0.789879,1.158470,1.087660
528,136612413,Journal of Futures Markets,E,362.000000,0.725290,0.548795,0.610399,0.756655,0.841593
529,2764833774,Accounting History Review,,49.000000,0.721178,1.361853,0.988851,1.888372,1.371161
530,170810187,International Journal of Bank Marketing,,331.000000,0.720942,0.606979,0.659085,0.841924,0.914199
531,173789977,Corporate Governance,B,363.000000,0.719721,0.640470,0.686151,0.889887,0.953358
532,152897404,Research-Technology Management,,31.000000,0.719249,1.329428,1.109250,1.848355,1.542233
533,91781374,Accounting History,,116.000000,0.718389,0.908392,0.747493,1.264485,1.040514
534,2764655866,Review of Keynesian Economics,,142.000000,0.717908,1.048590,0.814249,1.460618,1.134196
535,9871798,European Business Organization Law Review,,143.000000,0.717244,0.870437,0.717577,1.213585,1.000464
536,192056284,Economics of Innovation and New Technology,,210.000000,0.715178,0.757610,0.695542,1.059331,0.972545
537,4210192427,The Electronic Journal of Business Research Methods,,37.000000,0.714378,1.270238,1.026904,1.778104,1.437481
538,76295336,Journal of Media Economics,,23.000000,0.712948,1.587932,1.279160,2.227277,1.794186
539,4210207244,WPOM - Working Papers on Operations Management,,32.000000,0.710374,1.494852,1.164608,2.104317,1.639429
540,29049940,Pacific-Basin Finance Journal,,988.000000,0.709199,0.500950,0.593592,0.706361,0.836990
541,126012839,Applied Mathematical Finance,E,59.000000,0.708792,1.217912,0.939592,1.718292,1.325623
542,67638930,Structural Change and Economic Dynamics,E,623.000000,0.706836,0.626547,0.634415,0.886411,0.897543
543,149285975,Land Economics,,250.000000,0.706476,0.561758,0.606286,0.795155,0.858184
544,167074060,Tijdschrift voor Economische en Sociale Geografie,,204.000000,0.705344,0.532176,0.589796,0.754491,0.836182
545,2898363556,Econometrics and Statistics,,230.000000,0.704948,0.715850,0.632937,1.015465,0.897850
546,119587767,Journal of Business and Industrial Marketing,B,772.000000,0.701194,0.631815,0.626611,0.901055,0.893634
547,2764726166,Asia Pacific Management Review,,128.000000,0.700024,0.859058,0.785821,1.227183,1.122562
548,27001385,Advances in Accounting,,129.000000,0.699813,0.631623,0.657936,0.902560,0.940160
549,4210210207,Journal of Management Analytics,,94.000000,0.699353,0.990920,0.830295,1.416910,1.187234
550,37814254,De Economist,,75.000000,0.699334,0.794996,0.755364,1.136790,1.080119
551,6013065,Journal of Management & Governance,B,214.000000,0.699113,0.761987,0.705393,1.089935,1.008984
552,189751245,Journal of Consumer Affairs,,279.000000,0.696785,0.560523,0.590609,0.804443,0.847620
553,26772273,Climate Change Economics,,113.000000,0.694393,0.712724,0.665821,1.026399,0.958853
554,2898402987,Spanish Journal of Marketing - ESIC,,109.000000,0.693708,0.925769,0.802937,1.334524,1.157458
555,4210189013,Management Review Quarterly,B,270.000000,0.692313,0.681472,0.657409,0.984341,0.949584
556,16530434,The European Journal of Health Economics,,489.000000,0.690032,0.557450,0.658173,0.807862,0.953830
557,8133038,Research in International Business and Finance,,1172.000000,0.689177,0.491595,0.594406,0.713307,0.862486
558,182666042,Naval Research Logistics (NRL),,300.000000,0.688048,0.533198,0.553666,0.774943,0.804691
559,145099083,Journal of Economics and Business,,108.000000,0.686556,1.016321,0.809318,1.480319,1.178809
560,126936603,International Regional Science Review,,110.000000,0.685318,0.648564,0.658418,0.946369,0.960747
561,139232146,Personnel Review,,510.000000,0.683962,0.679379,0.632702,0.993299,0.925055
562,99242495,Journal of Air Transport Management,,479.000000,0.682790,0.547734,0.604809,0.802200,0.885791
